run_accession	study_accession	sample_accession	sample_alias	experiment_accession	sample_title	experiment_title	library_layout	instrument_model	read_count	base_count	age	cultivar	tissue_type	collection_date	description	fastq_ftp	fastq_md5
SRR23050942	PRJNA922966	SAMN32678585	GSM6928359	SRX19004415	RNA-Seq FZX_Fr_C3	Illumina NovaSeq 6000 sequencing: GSM6928359: RNA-Seq FZX_Fr_C3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	35174729	10504629640			fruits		Illumina NovaSeq 6000 sequencing: GSM6928359: RNA-Seq FZX_Fr_C3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23050942/SRR23050942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23050942/SRR23050942_2.fastq.gz	ea3cc3c504c54e50e3a192a5412eb21a;4b22b8cacbbf31ec5b603eefb2047d73
SRR23050944	PRJNA922966	SAMN32678587	GSM6928357	SRX19004413	RNA-Seq FZX_Fr_C1	Illumina NovaSeq 6000 sequencing: GSM6928357: RNA-Seq FZX_Fr_C1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	37677087	11247616752			fruits		Illumina NovaSeq 6000 sequencing: GSM6928357: RNA-Seq FZX_Fr_C1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23050944/SRR23050944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23050944/SRR23050944_2.fastq.gz	74901ca5a3b666b78d4f30d1a1a23bb6;e77af553bfac659fabeb302abe592b47
SRR23050945	PRJNA922966	SAMN32678588	GSM6928356	SRX19004412	RNA-Seq FZX_Le_M3	Illumina NovaSeq 6000 sequencing: GSM6928356: RNA-Seq FZX_Le_M3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	45726380	13671878328			leaves		Illumina NovaSeq 6000 sequencing: GSM6928356: RNA-Seq FZX_Le_M3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/045/SRR23050945/SRR23050945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/045/SRR23050945/SRR23050945_2.fastq.gz	30776925d5169c50ec3897b36a52e5d5;14bc9848b7a338970149a870f5f1eea4
SRR23050946	PRJNA922966	SAMN32678589	GSM6928355	SRX19004411	RNA-Seq FZX_Le_M2	Illumina NovaSeq 6000 sequencing: GSM6928355: RNA-Seq FZX_Le_M2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	39939393	11942924236			leaves		Illumina NovaSeq 6000 sequencing: GSM6928355: RNA-Seq FZX_Le_M2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/046/SRR23050946/SRR23050946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/046/SRR23050946/SRR23050946_2.fastq.gz	adddba6dfdc19475df16a6924b8b3068;6cd77c66ae60c4dfd2637d9aa4ad608f
SRR23050940	PRJNA922966	SAMN32678583	GSM6928361	SRX19004417	RNA-Seq FZX_Fr_M2	Illumina NovaSeq 6000 sequencing: GSM6928361: RNA-Seq FZX_Fr_M2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	40358531	12021528776			fruits		Illumina NovaSeq 6000 sequencing: GSM6928361: RNA-Seq FZX_Fr_M2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23050940/SRR23050940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23050940/SRR23050940_2.fastq.gz	8c794c2d2a93dcd1bec0ca4768cd679a;1d90c049e675862d3194010e1ea4cc94
SRR23050947	PRJNA922966	SAMN32678590	GSM6928354	SRX19004410	RNA-Seq FZX_Le_M1	Illumina NovaSeq 6000 sequencing: GSM6928354: RNA-Seq FZX_Le_M1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	42734424	12774277852			leaves		Illumina NovaSeq 6000 sequencing: GSM6928354: RNA-Seq FZX_Le_M1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23050947/SRR23050947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23050947/SRR23050947_2.fastq.gz	4ae7f04e50f31d19cc0de7d37358850a;e2ced6b96ee13f598564e255ac9e6c1e
SRR23050949	PRJNA922966	SAMN32678592	GSM6928352	SRX19004408	RNA-Seq FZX_Le_C2	Illumina NovaSeq 6000 sequencing: GSM6928352: RNA-Seq FZX_Le_C2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	43858629	13111669600			leaves		Illumina NovaSeq 6000 sequencing: GSM6928352: RNA-Seq FZX_Le_C2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23050949/SRR23050949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23050949/SRR23050949_2.fastq.gz	1e2b7c8e4415ead635f6f23c0c2e0b17;d5a85fef37996fb1366611c600a58c9c
SRR23050950	PRJNA922966	SAMN32678593	GSM6928351	SRX19004407	RNA-Seq FZX_Le_C1	Illumina NovaSeq 6000 sequencing: GSM6928351: RNA-Seq FZX_Le_C1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	35620848	10652132024			leaves		Illumina NovaSeq 6000 sequencing: GSM6928351: RNA-Seq FZX_Le_C1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/050/SRR23050950/SRR23050950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/050/SRR23050950/SRR23050950_2.fastq.gz	48f9fb3a0f178d239a353864992d2eb4;3fd76edc3f91a2774780c14cb7edf3e6
SRR23050939	PRJNA922966	SAMN32678582	GSM6928362	SRX19004418	RNA-Seq FZX_Fr_M3	Illumina NovaSeq 6000 sequencing: GSM6928362: RNA-Seq FZX_Fr_M3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	39244849	11693679436			fruits		Illumina NovaSeq 6000 sequencing: GSM6928362: RNA-Seq FZX_Fr_M3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/039/SRR23050939/SRR23050939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/039/SRR23050939/SRR23050939_2.fastq.gz	d00865b59156aead58d33f6bf1d49d0f;a364a6684910157a0f634f7b7de89bf4
SRR23050941	PRJNA922966	SAMN32678584	GSM6928360	SRX19004416	RNA-Seq FZX_Fr_M1	Illumina NovaSeq 6000 sequencing: GSM6928360: RNA-Seq FZX_Fr_M1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	38394172	11438403354			fruits		Illumina NovaSeq 6000 sequencing: GSM6928360: RNA-Seq FZX_Fr_M1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/041/SRR23050941/SRR23050941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/041/SRR23050941/SRR23050941_2.fastq.gz	3d5adbfebc0083eef89838cdae268de3;8fdd282058aa1d76faf75995a1cb57b6
