sample_id	primary_status	reason	all_sample_sensitivity
GI_24hpi_1	INCLUDE	none	retain
GI_24hpi_2	INCLUDE	none	retain
GI_24hpi_3	INCLUDE	none	retain
GC_24hpi_1	INCLUDE	none	retain
GC_24hpi_2	INCLUDE	none	retain
GC_24hpi_3	INCLUDE	none	retain
GI_48hpi_1	INCLUDE	none	retain
GI_48hpi_2	INCLUDE	none	retain
GI_48hpi_3	INCLUDE	none	retain
GC_48hpi_1	INCLUDE	none	retain
GC_48hpi_2	INCLUDE	none	retain
GC_48hpi_3	INCLUDE	none	retain
GI_6hpi_1	INCLUDE	none	retain
GI_6hpi_2	INCLUDE	none	retain
GI_6hpi_3	INCLUDE	none	retain
GC_6hpi_1	INCLUDE	none	retain
GC_6hpi_2	INCLUDE	none	retain
GC_6hpi_3	INCLUDE	none	retain
HI_24hpi_1	INCLUDE	none	retain
HI_24hpi_2	INCLUDE	none	retain
HI_24hpi_3	INCLUDE	none	retain
HC_24hpi_1	INCLUDE	none	retain
HC_24hpi_2	INCLUDE	none	retain
HC_24hpi_3	INCLUDE	none	retain
HI_48hpi_1	INCLUDE	none	retain
HI_48hpi_2	INCLUDE	none	retain
HI_48hpi_3	INCLUDE	none	retain
HC_48hpi_1	INCLUDE	none	retain
HC_48hpi_2	INCLUDE	none	retain
HC_48hpi_3	INCLUDE	none	retain
HI_6hpi_1	INCLUDE	none	retain
HI_6hpi_2	INCLUDE	none	retain
HI_6hpi_3	INCLUDE	none	retain
HC_6hpi_1	INCLUDE	none	retain
HC_6hpi_2	INCLUDE	none	retain
HC_6hpi_3	INCLUDE	none	retain
