gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status
LITCHI008721	835.697519395944	-1.91058272270929	0.245902825478273	-7.76966559450171	7.86936029320512e-15	7.86851905355691e-11	-7.76966559450171	-1.84138938011684	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI029455	349.617726596391	-1.78037134571311	0.229248689468255	-7.76611351560049	8.09310265215419e-15	7.86851905355691e-11	-7.76611351560049	-1.72019434523747	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI005805	414.369536849077	2.07255591145601	0.303473667985133	6.82944232103042	8.5245361279684e-12	5.52532016694485e-08	6.82944232103042	1.98215378859914	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI015740	358.63472289338	-1.96299486758937	0.293797466454524	-6.68145607679435	2.36579690309512e-11	1.15007301951712e-07	-6.68145607679435	-1.87322869807968	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI010877	250.398804803804	-2.77434466350923	0.423133579574518	-6.55666389393858	5.50248397124492e-11	2.13991601641715e-07	-6.55666389393858	-2.64100191381313	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI009437	970.725814938524	1.03949061099977	0.159872750542737	6.50198740855402	7.92657367482099e-11	2.56887041844824e-07	6.50198740855402	0.990859021685459	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI009986	1454.28086457791	0.984607140137177	0.153416309295172	6.41787789486449	1.38187018675689e-10	3.83863796878395e-07	6.41787789486449	0.937292849406453	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI023626	1080.56343758062	-1.40847760833401	0.221948011329959	-6.34597985309312	2.21014159189311e-10	5.3720254067952e-07	-6.34597985309312	-1.33735416055161	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI015982	87.7673876559649	3.42612366371821	0.546401419425672	6.2703418071634	3.60256391776514e-10	7.78353948677146e-07	6.2703418071634	3.24129495890425	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI029642	186.550061447991	1.56693704690943	0.25601682306565	6.12044563379191	9.33140171419192e-10	1.81449106332462e-06	6.12044563379191	1.48190338684563	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI025204	437.443579317214	2.85870852391512	0.476676049101646	5.99717256468561	2.00782666811757e-09	3.54928996014056e-06	5.99717256468561	2.68889471364192	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
