pathway	pval	padj	log2err	ES	NES	size	leading_edge_genes	members	direction	discovered_pathway
R-OSA-9645850.1|Activation of pre-replication complex	1.17419370614843e-05	0.000187870992983749	0.593325476396405	0.692865533308896	2.25147013492664	22	LITCHI016282;LITCHI028510;LITCHI004630;LITCHI021687;LITCHI001887;LITCHI028838;LITCHI002026;LITCHI026552;LITCHI023474;LITCHI018920;LITCHI025086;LITCHI025733;LITCHI008249	LITCHI001887;LITCHI002026;LITCHI004630;LITCHI005162;LITCHI005688;LITCHI006901;LITCHI008249;LITCHI016282;LITCHI018451;LITCHI018872;LITCHI018920;LITCHI021687;LITCHI023359;LITCHI023474;LITCHI023959;LITCHI025086;LITCHI025733;LITCHI026536;LITCHI026552;LITCHI026941;LITCHI028510;LITCHI028838	stronger_infection_response_in_Yurong1	TRUE
R-OSA-9640882.1|Assembly of pre-replication complex	4.28796481807041e-05	0.000343037185445633	0.557332238758646	0.766379713663281	2.19540409401549	14	LITCHI026066;LITCHI016282;LITCHI028510;LITCHI021687;LITCHI001887;LITCHI028838;LITCHI026552;LITCHI025086;LITCHI025733;LITCHI008249	LITCHI001887;LITCHI005162;LITCHI005688;LITCHI008249;LITCHI016282;LITCHI018451;LITCHI021687;LITCHI023959;LITCHI025086;LITCHI025733;LITCHI026066;LITCHI026552;LITCHI028510;LITCHI028838	stronger_infection_response_in_Yurong1	TRUE
R-OSA-9675824.1|DNA replication Initiation	9.5008376995037e-05	0.000506711343973531	0.538434096309916	0.791855265584036	2.16138557051284	12	LITCHI016282;LITCHI028510;LITCHI004630;LITCHI021687;LITCHI001887;LITCHI028838;LITCHI026552;LITCHI023474	LITCHI001887;LITCHI004630;LITCHI006901;LITCHI014344;LITCHI016282;LITCHI021687;LITCHI023474;LITCHI026552;LITCHI026941;LITCHI028510;LITCHI028838;LITCHI030813	stronger_infection_response_in_Yurong1	TRUE
R-OSA-6787011.1|Jasmonic acid signaling	0.000927426858575752	0.00370970743430301	0.477270815362862	-0.681028763700857	-1.95851667665587	15	LITCHI008177;LITCHI017545;LITCHI017499;LITCHI004211;LITCHI026870;LITCHI031153;LITCHI026924;LITCHI020425;LITCHI023042	LITCHI002927;LITCHI004211;LITCHI006232;LITCHI006931;LITCHI008177;LITCHI017499;LITCHI017545;LITCHI017765;LITCHI020425;LITCHI022467;LITCHI023042;LITCHI026870;LITCHI026924;LITCHI028563;LITCHI031153	stronger_infection_response_in_Guiwei	TRUE
R-OSA-9675782.1|Maturation	0.00193272313834067	0.00618471404269014	0.45505986738723	0.756502562503483	1.94166413041303	10	LITCHI004630;LITCHI012797;LITCHI007508;LITCHI025044;LITCHI018920	LITCHI002230;LITCHI003047;LITCHI004630;LITCHI006901;LITCHI007508;LITCHI012797;LITCHI018872;LITCHI018920;LITCHI025044;LITCHI025286	stronger_infection_response_in_Yurong1	TRUE
R-OSA-8933811.1|Circadian rhythm	0.00462573591253154	0.0123352957667508	0.310776919977249	0.674805281627056	1.84189518211872	12	LITCHI011520;LITCHI005866;LITCHI012124;LITCHI024781;LITCHI021366;LITCHI002244;LITCHI023430	LITCHI002244;LITCHI005866;LITCHI005896;LITCHI010518;LITCHI011520;LITCHI012124;LITCHI014363;LITCHI016399;LITCHI021366;LITCHI022646;LITCHI023430;LITCHI024781	stronger_infection_response_in_Yurong1	TRUE
R-OSA-5632095.1|Brassinosteroid signaling	0.0299015897047691	0.068346490753758	0.114047666631429	-0.551188914967615	-1.58512054040952	15	LITCHI006688;LITCHI023305;LITCHI005059;LITCHI004211;LITCHI019263;LITCHI016545;LITCHI024341;LITCHI006051;LITCHI031793	LITCHI002927;LITCHI003567;LITCHI004211;LITCHI005059;LITCHI006051;LITCHI006688;LITCHI016323;LITCHI016545;LITCHI018668;LITCHI019263;LITCHI023305;LITCHI024245;LITCHI024341;LITCHI025280;LITCHI031793	stronger_infection_response_in_Guiwei	FALSE
R-OSA-1119519.1|Calvin cycle	0.0364456133759158	0.0728912267518317	0.102704812014747	-0.530854763215724	-1.55259799960084	16	LITCHI005724;LITCHI018791;LITCHI013644;LITCHI023420;LITCHI023057;LITCHI001964;LITCHI020724;LITCHI028582;LITCHI018289;LITCHI009727;LITCHI024879	LITCHI001273;LITCHI001964;LITCHI005683;LITCHI005724;LITCHI008481;LITCHI009727;LITCHI013644;LITCHI018289;LITCHI018791;LITCHI019783;LITCHI020724;LITCHI020876;LITCHI023057;LITCHI023420;LITCHI024879;LITCHI028582	stronger_infection_response_in_Guiwei	FALSE
R-OSA-1119402.1|Phospholipid biosynthesis I	0.0890569208149548	0.150249079075449	0.0686043435198679	0.535205966325816	1.41760925097936	11	LITCHI001196;LITCHI020647;LITCHI002144;LITCHI027547;LITCHI013310	LITCHI001196;LITCHI001763;LITCHI002144;LITCHI005685;LITCHI008746;LITCHI008962;LITCHI011146;LITCHI013310;LITCHI020647;LITCHI022775;LITCHI027547	stronger_infection_response_in_Yurong1	FALSE
R-OSA-1119273.1|Lysine biosynthesis I	0.103296241864371	0.150249079075449	0.0634554993001747	0.546168025916853	1.40181265426495	10	LITCHI005872;LITCHI015553;LITCHI011840;LITCHI001691;LITCHI020829;LITCHI001849	LITCHI001691;LITCHI001849;LITCHI002142;LITCHI004745;LITCHI005872;LITCHI009737;LITCHI011840;LITCHI015553;LITCHI018476;LITCHI020829	stronger_infection_response_in_Yurong1	FALSE
R-OSA-1119283.1|Lysine biosynthesis II	0.103296241864371	0.150249079075449	0.0634554993001747	0.546168025916853	1.40181265426495	10	LITCHI005872;LITCHI015553;LITCHI011840;LITCHI001691;LITCHI020829;LITCHI001849	LITCHI001691;LITCHI001849;LITCHI002142;LITCHI004745;LITCHI005872;LITCHI009737;LITCHI011840;LITCHI015553;LITCHI018476;LITCHI020829	stronger_infection_response_in_Yurong1	FALSE
R-OSA-1119312.1|Photorespiration	0.120251956480244	0.160335941973659	0.0556619907567076	-0.533985817407375	-1.36697811926087	10	LITCHI002037;LITCHI028109;LITCHI029929;LITCHI007196;LITCHI029609;LITCHI004871;LITCHI020383;LITCHI028775	LITCHI002037;LITCHI004871;LITCHI007196;LITCHI008481;LITCHI020383;LITCHI028109;LITCHI028775;LITCHI029609;LITCHI029853;LITCHI029929	stronger_infection_response_in_Guiwei	FALSE
R-OSA-5608118.1|Auxin signalling	0.211971025543271	0.260887416053257	0.0407976722761687	-0.456428071106592	-1.23302649362166	12	LITCHI008046;LITCHI002028;LITCHI023080	LITCHI001009;LITCHI002028;LITCHI008046;LITCHI010154;LITCHI016794;LITCHI017492;LITCHI018590;LITCHI020258;LITCHI020811;LITCHI023080;LITCHI026127;LITCHI029122	stronger_infection_response_in_Guiwei	FALSE
R-OSA-1119477.1|Starch biosynthesis	0.277424819991529	0.317056937133176	0.0371659974986293	0.401994003126447	1.15156920844754	14	LITCHI013915;LITCHI009241;LITCHI027828;LITCHI010632	LITCHI005827;LITCHI009241;LITCHI009983;LITCHI010318;LITCHI010632;LITCHI012429;LITCHI013418;LITCHI013915;LITCHI014739;LITCHI021532;LITCHI021827;LITCHI026286;LITCHI026731;LITCHI027828	stronger_infection_response_in_Yurong1	FALSE
R-OSA-1119533.1|TCA cycle (plant)	0.548768849016988	0.585353438951454	0.0227146176786877	-0.363642534498091	-0.930907472982993	10	LITCHI026501;LITCHI025296;LITCHI021285;LITCHI023532	LITCHI006357;LITCHI006643;LITCHI013926;LITCHI018601;LITCHI021285;LITCHI023532;LITCHI025296;LITCHI025996;LITCHI026501;LITCHI029073	stronger_infection_response_in_Guiwei	FALSE
R-OSA-1119325.1|Sphingolipid metabolism	0.800125971026664	0.800125971026664	0.0183873025226148	0.288749778090171	0.741114590447703	10	LITCHI011548;LITCHI008224;LITCHI005163;LITCHI004627	LITCHI001613;LITCHI004627;LITCHI005163;LITCHI008224;LITCHI011548;LITCHI014730;LITCHI020815;LITCHI028645;LITCHI029219;LITCHI029288	stronger_infection_response_in_Yurong1	FALSE
