gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI003626	18557.5104758369	-3.85659308175293	0.0814630878207073	-47.3416020055726	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI006468	4258.53040009351	2.32583683852561	0.0576716652110591	40.328935015381	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI006733	12204.0878576073	2.01976638943379	0.0531274137791612	38.017404683569	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI006963	3400.39636437579	5.52043471731528	0.114605442741416	48.1690449010438	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI007126	9480.13575542946	2.32109879367147	0.0538121267584739	43.1333777995675	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI007387	2743.65779036725	-4.81530035803136	0.103163317940233	-46.6764781724167	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI009125	7923.23742615951	-2.32946555031762	0.0505341469573528	-46.0968610449391	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI010397	1477.54913569616	-4.34598785972292	0.104961768518437	-41.4054366753503	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI011632	6905.15815846395	-4.76348066649797	0.0920446813766622	-51.7518296033316	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI012124	1844.34558221023	-3.50802168187489	0.0811587851094505	-43.2241768669157	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI013576	2574.79612763721	-3.25388306922981	0.0790581743568923	-41.1580851151559	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014444	10999.628479334	-2.59856293563717	0.0677458468956599	-38.3575238145506	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI016598	1967.73941127858	-4.92197525338824	0.124377464971523	-39.572886089254	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI016644	11377.7023257017	-4.95148060641711	0.0789539743822679	-62.7135067633676	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI016723	4514.8289217871	-4.94915603500688	0.0923446919684173	-53.5943748309814	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017544	2672.71039253851	-4.04786998913553	0.101167982896369	-40.0113738877441	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI020876	3068.34319727777	3.40000458291161	0.0729635180430077	46.5986930743596	0	0	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
