gene_id	evidence_group	sample_id	cultivar	treatment	replicate	normalized_count	log2_normalized_count_plus_1
LITCHI014613	Tier B	GW_P1	Guiwei	infected	1	31.5394496045015	5.024117943329525
LITCHI014613	Tier B	GW_P2	Guiwei	infected	2	10.6135438349487	3.5377363679495084
LITCHI014613	Tier B	GW_P3	Guiwei	infected	3	19.118219629101	4.330430733732825
LITCHI014613	Tier B	GW_M1	Guiwei	mock	1	354.519574793777	8.473785186132606
LITCHI014613	Tier B	GW_M2	Guiwei	mock	2	127.382153834241	7.0043008598031
LITCHI014613	Tier B	GW_M3	Guiwei	mock	3	125.179036511319	6.979328429466062
LITCHI014613	Tier B	YR_P1	Yurong1	infected	1	289.16061372111	8.180707891654976
LITCHI014613	Tier B	YR_P2	Yurong1	infected	2	193.167527027217	7.601158131447865
LITCHI014613	Tier B	YR_P3	Yurong1	infected	3	267.707083968689	8.069890545631871
LITCHI014613	Tier B	YR_M1	Yurong1	mock	1	136.87046901893	7.1071696635780945
LITCHI014613	Tier B	YR_M2	Yurong1	mock	2	232.247171458702	7.865715775686715
LITCHI014613	Tier B	YR_M3	Yurong1	mock	3	202.571607656793	7.669392551045494
LITCHI015740	Tier B	GW_P1	Guiwei	infected	1	378.473395254017	8.567854932120195
LITCHI015740	Tier B	GW_P2	Guiwei	infected	2	255.689919660129	8.003882831453964
LITCHI015740	Tier B	GW_P3	Guiwei	infected	3	332.053288294912	8.37960921574455
LITCHI015740	Tier B	GW_M1	Guiwei	mock	1	133.79939875137	7.074670251425421
LITCHI015740	Tier B	GW_M2	Guiwei	mock	2	99.6457171122691	6.65314197075373
LITCHI015740	Tier B	GW_M3	Guiwei	mock	3	157.759881630703	7.310702581570904
LITCHI015740	Tier B	YR_P1	Yurong1	infected	1	312.46293424076	8.292151049872222
LITCHI015740	Tier B	YR_P2	Yurong1	infected	2	401.505278690079	8.652863893474183
LITCHI015740	Tier B	YR_P3	Yurong1	infected	3	427.192155269184	8.742114554723003
LITCHI015740	Tier B	YR_M1	Yurong1	mock	1	580.167361214567	9.18280987220848
