Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
GW_Mock1_R1 - polya	(1, 0.0026670179277711215)	(2, 0.006478411591156781)	(3, 0.00844635480177425)	(4, 0.010572308051200423)	(5, 0.013148350502081687)	(6, 0.015575959280142654)	(7, 0.017907804398319557)	(8, 0.02291145562726179)	(9, 0.028934989833969277)	(10, 0.03664157036313915)	(12, 0.04297154828147563)	(14, 0.04986892588462519)	(16, 0.05699613627149649)	(18, 0.065684294314478)	(20, 0.07366380127431744)	(22, 0.08144220454840037)	(24, 0.0879948329759673)	(26, 0.09581872398849514)	(28, 0.10348699905371139)	(30, 0.11133961916420446)	(32, 0.11780606029787574)	(34, 0.12414322049070353)	(36, 0.1315074459357879)	(38, 0.1385221340222954)	(40, 0.14642024187123343)	(42, 0.1541268224004033)	(44, 0.1602437261754977)	(46, 0.16806043491353428)	(48, 0.1742922550804896)	(50, 0.17991837009867823)	(52, 0.18548223873794223)	(54, 0.1910461073772062)	(56, 0.1961143990765702)	(58, 0.20159208042193852)	(60, 0.20662206665734886)	(62, 0.21170951108868963)	(64, 0.2166150045662507)	(66, 0.22136727618799729)	(68, 0.22610997144375544)	(70, 0.23112798722168026)	(72, 0.23604066297373266)	(74, 0.24018962353820963)	(76, 0.24436491910915473)	(78, 0.24839417509877662)	(80, 0.25274184525751303)	(82, 0.25679264807060886)	(84, 0.2611690473273105)	(86, 0.26535631335574106)	(88, 0.2697231362464543)	(90, 0.2737930917915269)	(92, 0.2777002491147966)	(94, 0.28177020465986924)	(96, 0.2855289283103187)	(98, 0.28923019376483766)	(100, 0.29293864149384796)	(102, 0.29654653737998005)	(104, 0.3003483546773773)	(106, 0.3038221814396716)	(108, 0.30765751601802827)	(110, 0.31132526419158785)	(112, 0.31477754413040826)	(114, 0.31816278950730986)	(116, 0.3209997879313752)	(118, 0.3242868755568956)	(120, 0.3275524163589421)	(122, 0.3308083807950002)	(124, 0.3340451924990815)	(126, 0.3374471965164628)	(128, 0.3407223136844977)	(130, 0.34399982494402975)	(132, 0.3471049616157704)	(134, 0.350253191934459)	(136, 0.35301357943061706)	(138, 0.3560133760764853)
GW_Mock1_R2 - polya	(1, 0.003232023521087086)	(2, 0.00749829456892204)	(3, 0.009696070563261258)	(4, 0.01183638836167004)	(5, 0.014297514420690428)	(6, 0.01681131049264705)	(7, 0.019157520159806565)	(8, 0.02437185144049373)	(9, 0.0306778884438592)	(10, 0.038669365861184156)	(12, 0.04453967821207715)	(14, 0.05072601064058754)	(16, 0.05793701422985739)	(18, 0.0663043640122273)	(20, 0.07340523939263048)	(22, 0.08076946483771483)	(24, 0.08694382680873972)	(26, 0.09457140231850525)	(28, 0.10185422865268814)	(30, 0.1093812523195754)	(32, 0.11544309199023652)	(34, 0.12141874436700197)	(36, 0.12883324573352545)	(38, 0.1356947119642185)	(40, 0.14339171612739995)	(42, 0.15068890701056548)	(44, 0.15651373162301352)	(46, 0.16414370122427613)	(48, 0.17050240824057786)	(50, 0.17591305502402735)	(52, 0.18147931775478843)	(54, 0.18706473321752634)	(56, 0.1921138721849135)	(58, 0.1973665089295543)	(60, 0.20264787477216029)	(62, 0.2073043827340228)	(64, 0.2121021420942143)	(66, 0.21710818741465363)	(68, 0.22188918813436542)	(70, 0.2267874993374352)	(72, 0.23175045101092667)	(74, 0.2358108301900109)	(76, 0.24007470714634876)	(78, 0.24426676135777356)	(80, 0.24844445102021576)	(82, 0.25289985529632175)	(84, 0.257314560016977)	(86, 0.26155689014984096)	(88, 0.26573697390378026)	(90, 0.26946936254776155)	(92, 0.2734579189819327)	(94, 0.2772860712857981)	(96, 0.28081496215252577)	(98, 0.2844874985090795)	(100, 0.28801878346730425)	(102, 0.2915668270660088)	(104, 0.29493291971093355)	(106, 0.29816973141501485)	(108, 0.30205055373181644)	(110, 0.30590743513364704)	(112, 0.30935732098097035)	(114, 0.3128742413902126)	(116, 0.31583094438913295)	(118, 0.31891932242039395)	(120, 0.3223117500717868)	(122, 0.3257664241021043)	(124, 0.3291037876490639)	(126, 0.3323142643466771)	(128, 0.3357641501940004)	(130, 0.33919248921784984)	(132, 0.34231438453007024)	(134, 0.34530699890144717)	(136, 0.34813681505102123)	(138, 0.35086368526621986)
GW_Mock1_R2 - polyg	(1, 0.4785836784535931)	(2, 0.4942218841126604)	(3, 0.4972480157649967)	(4, 0.49886163343404316)	(5, 0.5008822466575968)	(6, 0.503712062807171)	(7, 0.506565819871716)	(8, 0.509419576936261)	(9, 0.5131256305737741)	(10, 0.5170782756354888)	(12, 0.5215360740030919)	(14, 0.5248207675371153)	(16, 0.5274159627199733)	(18, 0.5298196305830633)	(20, 0.5318258792576344)	(22, 0.5337363642723214)	(24, 0.5356636079274881)	(26, 0.5373466542499505)	(28, 0.5388669023506101)	(30, 0.5402985690658767)	(32, 0.5417948762515652)	(34, 0.5432480897903058)	(36, 0.5446103278521566)	(38, 0.5458983490775973)	(40, 0.5471265180156104)	(42, 0.5482397705617625)	(44, 0.5493673876568974)	(46, 0.5503872706346626)	(48, 0.5513832126974569)	(50, 0.5523791547602511)	(52, 0.5532769390716642)	(54, 0.554167541108586)	(56, 0.5549288622046643)	(58, 0.5556255428303208)	(60, 0.5563485584624455)	(62, 0.5570236922646281)	(64, 0.5576150328644123)	(66, 0.55807948661485)	(68, 0.5586157631102007)	(70, 0.5590969755011181)	(72, 0.5595374883365847)	(74, 0.5599636366230688)	(76, 0.5603179621646399)	(78, 0.5606124354187834)	(80, 0.5609188791304123)	(82, 0.5612588401230008)	(84, 0.5616107715730747)	(86, 0.5619650971146457)	(88, 0.5622260530878298)	(90, 0.5624582799630486)	(92, 0.5627120536617414)	(94, 0.5629969505498964)	(96, 0.5632890297125428)	(98, 0.563600261607166)	(100, 0.5638444589398705)	(102, 0.5640407744426328)	(104, 0.5642969422328226)	(106, 0.5645363513825328)	(108, 0.5647422432512834)	(110, 0.5649026473815894)	(112, 0.565130086073814)	(114, 0.5653766774980155)	(116, 0.5655729930007778)	(118, 0.5657621262290489)	(120, 0.5660015353787589)	(122, 0.566193062698527)	(124, 0.5663702254693126)	(126, 0.5665832996125546)	(128, 0.5667772210238198)	(130, 0.5669376251541256)	(132, 0.5671387288398821)	(134, 0.5673470148001301)	(136, 0.567581635766846)	(138, 0.5677923158185909)
GW_Mock2_R1 - polya	(1, 0.0026985061115903626)	(2, 0.006695954148081849)	(3, 0.008731268079705088)	(4, 0.011077596275037049)	(5, 0.013579431602223368)	(6, 0.016035529537687818)	(7, 0.018450463820602583)	(8, 0.023659952737723637)	(9, 0.030035745143752395)	(10, 0.038000911912116145)	(12, 0.04412514866367462)	(14, 0.05039574506874307)	(16, 0.057674850961278765)	(18, 0.06666682217379852)	(20, 0.0744467525056887)	(22, 0.08185163622545955)	(24, 0.08840809132878968)	(26, 0.0962131772261269)	(28, 0.10385589538285148)	(30, 0.11122418918924482)	(32, 0.11768688263954513)	(34, 0.12409469121977919)	(36, 0.13177857302905344)	(38, 0.13929322648895678)	(40, 0.14702284568995289)	(42, 0.15459467088950857)	(44, 0.16081495616368296)	(46, 0.16897450684686466)	(48, 0.17541661847089013)	(50, 0.18093712165171993)	(52, 0.18643018239751658)	(54, 0.19176316227228668)	(56, 0.19685373397093087)	(58, 0.20188942079950883)	(60, 0.2068473540621596)	(62, 0.2115811741053732)	(64, 0.21659856597726238)	(66, 0.22137354967302567)	(68, 0.22609822223789489)	(70, 0.23095553323875756)	(72, 0.235881450327203)	(74, 0.24038200967263507)	(76, 0.24489629023558368)	(78, 0.24893718879421095)	(80, 0.25314045509345084)	(82, 0.25734143452310465)	(84, 0.2618854443906725)	(86, 0.26625565216969727)	(88, 0.27053895890445046)	(90, 0.2745158251146671)	(92, 0.2785384287166056)	(94, 0.2827965798859117)	(96, 0.28646243183241965)	(98, 0.29054220717401047)	(100, 0.29431325512147877)	(102, 0.29794937776336744)	(104, 0.30159922162277275)	(106, 0.3049654936535024)	(108, 0.30862448499125206)	(110, 0.31212339545797513)	(112, 0.3153593159222975)	(114, 0.3188399314323318)	(116, 0.32196608215652167)	(118, 0.32522487131670497)	(120, 0.32872149491384195)	(122, 0.3320946275533299)	(124, 0.3354791945407483)	(126, 0.3387951554405839)	(128, 0.3423626719948899)	(130, 0.34585700872244074)	(132, 0.349090642317177)	(134, 0.35245462747832057)	(136, 0.35541612359231173)	(138, 0.3582404075311372)
GW_Mock2_R2 - polya	(1, 0.0034303043791402915)	(2, 0.00779822528857893)	(3, 0.009993620091228715)	(4, 0.01216157245884538)	(5, 0.014869226048780118)	(6, 0.017293307810039255)	(7, 0.019813438093914323)	(8, 0.024858272400836646)	(9, 0.0314810467221635)	(10, 0.039130625487646356)	(12, 0.045113076324867024)	(14, 0.05124874742435596)	(16, 0.058436378533447915)	(18, 0.06659821608621572)	(20, 0.07415860693784092)	(22, 0.08171671091988003)	(24, 0.08814967506556112)	(26, 0.09531672434837823)	(28, 0.10238315136940723)	(30, 0.11034831813777099)	(32, 0.1170602803729555)	(34, 0.12324626260333849)	(36, 0.13094157876054321)	(38, 0.13795312091150597)	(40, 0.1456118471553332)	(42, 0.1531722380069584)	(44, 0.15919127875755656)	(46, 0.16724792030936406)	(48, 0.17360313088911797)	(50, 0.17912363406994775)	(52, 0.18463270290284706)	(54, 0.19012805051822979)	(56, 0.19563940622071518)	(58, 0.2012193680107834)	(60, 0.2062047437084673)	(62, 0.21127015984166447)	(64, 0.21614805266880194)	(66, 0.22077667671105528)	(68, 0.22567972510363976)	(70, 0.23081146045483364)	(72, 0.23554985423721947)	(74, 0.2396593588834295)	(76, 0.2439380918790105)	(78, 0.24834946331058494)	(80, 0.25267622056747385)	(82, 0.25653645642879974)	(84, 0.2606596822925264)	(86, 0.26501845572362065)	(88, 0.2692400169795493)	(90, 0.27303850736205065)	(92, 0.2769467674846845)	(94, 0.28088475691193754)	(96, 0.2844339785095547)	(98, 0.28812269915192357)	(100, 0.2920355330137296)	(102, 0.2957151061777541)	(104, 0.2993169257758514)	(106, 0.3025093957180379)	(108, 0.30621412444750945)	(110, 0.3096581500441663)	(112, 0.3130152745965516)	(114, 0.31651418506327467)	(116, 0.3196586307441533)	(118, 0.3226292743364888)	(120, 0.3258651948008111)	(122, 0.3292063112660938)	(124, 0.3324765347742075)	(126, 0.33550206323660925)	(128, 0.33864879578707396)	(130, 0.3418915768601546)	(132, 0.34491253158338414)	(134, 0.34810271465598464)	(136, 0.3510802188570784)	(138, 0.3539891169705893)
GW_Mock2_R2 - polyg	(1, 0.3409219441556509)	(2, 0.35044904285131656)	(3, 0.3537329875769469)	(4, 0.35523774776459643)	(5, 0.3570489484767825)	(6, 0.35943644032466415)	(7, 0.3620892090445326)	(8, 0.3645361595016527)	(9, 0.3678658416190049)	(10, 0.37147223495627435)	(12, 0.37535762638304726)	(14, 0.3782482295398695)	(16, 0.38063572138775115)	(18, 0.383052942540252)	(20, 0.3849922079492593)	(22, 0.38677596622641225)	(24, 0.38855057702522083)	(26, 0.39010107460459226)	(28, 0.3917384732282352)	(30, 0.39322722532878207)	(32, 0.39469996934222634)	(34, 0.39617728709484273)	(36, 0.3975722775423598)	(38, 0.3989535467723603)	(40, 0.4001747351313342)	(42, 0.40140735783823867)	(44, 0.40267657045852057)	(46, 0.4038565951649448)	(48, 0.4049382844791671)	(50, 0.4059056303140846)	(52, 0.4068615418010717)	(54, 0.40768710172165146)	(56, 0.4085240959901617)	(58, 0.4093039185190196)	(60, 0.4100677329607748)	(62, 0.41077894940204995)	(64, 0.4115290426262886)	(66, 0.4121922348062557)	(68, 0.41274565724609036)	(70, 0.41323504733751437)	(72, 0.41371757682018007)	(74, 0.414179524476571)	(76, 0.4146003084804122)	(78, 0.41488845404826)	(80, 0.41519946831196874)	(82, 0.4155219169236079)	(84, 0.4159106847532438)	(86, 0.4162445677128135)	(88, 0.41656930319403873)	(90, 0.4169306285886415)	(92, 0.4172302085044198)	(94, 0.4174909116372344)	(96, 0.4177539016396352)	(98, 0.4180031704245194)	(100, 0.4182661604269201)	(102, 0.4185268635597348)	(104, 0.4187852798229634)	(106, 0.4190231142599171)	(108, 0.419265522436043)	(110, 0.4196291347002319)	(112, 0.4199035590505631)	(114, 0.420145967226689)	(116, 0.42038380166364275)	(118, 0.42063307044852694)	(120, 0.42084803618961975)	(122, 0.4210652888002986)	(124, 0.4212413777584278)	(126, 0.42148607280413986)	(128, 0.4217330547194379)	(130, 0.42194573359094467)	(132, 0.4221698468103818)	(134, 0.422393960029819)	(136, 0.42260892577091175)	(138, 0.4228467602078655)
GW_Mock3_R1 - polya	(1, 0.0027763993419755587)	(2, 0.006785270827744754)	(3, 0.008747437670390943)	(4, 0.010745199376395792)	(5, 0.01304551742094926)	(6, 0.015376980970941555)	(7, 0.017681748373414855)	(8, 0.02257159272731091)	(9, 0.029098800795705374)	(10, 0.03678729128117615)	(12, 0.04274720621479195)	(14, 0.04933225593614424)	(16, 0.056735987514745734)	(18, 0.0657058930811283)	(20, 0.07391940780113934)	(22, 0.08155450599157212)	(24, 0.0884932796675511)	(26, 0.09644873162821183)	(28, 0.10400374137608763)	(30, 0.11183906067291288)	(32, 0.11879340710161126)	(34, 0.12569213655631176)	(36, 0.13370320549097042)	(38, 0.14075766247286503)	(40, 0.14840833341601722)	(42, 0.15607902646980867)	(44, 0.16232147563133387)	(46, 0.17040373429270983)	(48, 0.1769309423611043)	(50, 0.182839689678642)	(52, 0.18864165240610375)	(54, 0.1945681971553208)	(56, 0.20032789098254417)	(58, 0.20591628452985394)	(60, 0.21109311246957918)	(62, 0.21648795894737624)	(64, 0.22139782541191155)	(66, 0.2262876697658076)	(68, 0.23112634650362557)	(70, 0.23623198471663354)	(72, 0.24143995816179759)	(74, 0.2457758574546745)	(76, 0.2504788287759376)	(78, 0.25500160110144743)	(80, 0.25943538626856066)	(82, 0.2639225637307119)	(84, 0.2688457782690067)	(86, 0.27321504774628236)	(88, 0.27763993419755584)	(90, 0.281862374863477)	(92, 0.2860759168135585)	(94, 0.29040291739059576)	(96, 0.2943205770390084)	(98, 0.2983605940302164)	(100, 0.3025874840540574)	(102, 0.306852193620217)	(104, 0.3109923211646212)	(106, 0.3148454651231963)	(108, 0.3191680163423136)	(110, 0.32311904617512505)	(112, 0.32704560453937737)	(114, 0.3308720523504334)	(116, 0.3342513396905462)	(118, 0.3376906933625769)	(120, 0.34119456272444504)	(122, 0.3449364727350243)	(124, 0.34870285421416264)	(126, 0.35224231843938947)	(128, 0.35553484330006563)	(130, 0.3593323702846428)	(132, 0.36286738515194983)	(134, 0.36644689359845517)	(136, 0.36953697267377894)	(138, 0.37253361523278616)
GW_Mock3_R2 - polya	(1, 0.003568385051705766)	(2, 0.007799724433466593)	(3, 0.010006605961703576)	(4, 0.012253531711219052)	(5, 0.014887551599759966)	(6, 0.017526020846220715)	(7, 0.019937572838769995)	(8, 0.02543697922768312)	(9, 0.0321021173915924)	(10, 0.04040684394895999)	(12, 0.04626887300833947)	(14, 0.052642578228499715)	(16, 0.059652541631196015)	(18, 0.06843112480702579)	(20, 0.07602617877618008)	(22, 0.08357896384509597)	(24, 0.0903887061413998)	(26, 0.0978880989152777)	(28, 0.1053074032465986)	(30, 0.11343638016613279)	(32, 0.12019050548843872)	(34, 0.12649524566084155)	(36, 0.1340702775193566)	(38, 0.14104464605869424)	(40, 0.1488799653555195)	(42, 0.15659070263058944)	(44, 0.1628198037183551)	(46, 0.17084199604781333)	(48, 0.17747153934836396)	(50, 0.1832356825335071)	(52, 0.18883075011769662)	(54, 0.19433683054348952)	(56, 0.20001866060711576)	(58, 0.20594520535633282)	(60, 0.21149800404028396)	(62, 0.21661476564809146)	(64, 0.22192062496749188)	(66, 0.2271486205232952)	(68, 0.23211855331974826)	(70, 0.23727535914883427)	(72, 0.2425567469996756)	(74, 0.2472063260259007)	(76, 0.25204500276371866)	(78, 0.25658557252090786)	(80, 0.26117953457313503)	(82, 0.26563111717192756)	(84, 0.27032963913527086)	(86, 0.274976993482536)	(88, 0.2794908670922062)	(90, 0.28358205169949235)	(92, 0.2876331920854999)	(94, 0.29201580963653506)	(96, 0.2959356939639076)	(98, 0.2999223186600777)	(100, 0.30385332638224977)	(102, 0.30792893823681644)	(104, 0.3118310251325097)	(106, 0.3159177603818759)	(108, 0.3200534385683603)	(110, 0.3240667594120494)	(112, 0.3279399254812637)	(114, 0.3317641486133598)	(116, 0.3348186328253249)	(118, 0.33836477108743157)	(120, 0.34174183374858447)	(122, 0.3451010989780581)	(124, 0.3488185375200783)	(126, 0.3523691251401047)	(128, 0.3559553076234898)	(130, 0.3597172397447083)	(132, 0.36318328956425794)	(134, 0.36672052911052483)	(136, 0.3699040447021651)	(138, 0.37308978497276524)
GW_Mock3_R2 - polyg	(1, 0.342605009185032)	(2, 0.3544225038201075)	(3, 0.357599345374868)	(4, 0.35917886743640853)	(5, 0.3610386990468986)	(6, 0.36347249782904706)	(7, 0.36600863184335164)	(8, 0.3686115062264537)	(9, 0.37176610099161506)	(10, 0.3754523940281964)	(12, 0.3792432469758938)	(14, 0.38203299439162886)	(16, 0.3843377617941022)	(18, 0.3865780135067378)	(20, 0.3886002466813018)	(22, 0.39036219241755554)	(24, 0.39195728723181555)	(26, 0.39348786635623795)	(28, 0.39492945832226367)	(30, 0.39637994900412915)	(32, 0.39773477849071814)	(34, 0.39917859513570386)	(36, 0.40050672847477387)	(38, 0.40172362786584814)	(40, 0.4029583246886017)	(42, 0.40415520196903665)	(44, 0.40531203502819313)	(46, 0.4062619729440774)	(48, 0.4072007874651621)	(50, 0.40809955776496826)	(52, 0.408958283843496)	(54, 0.40982368395890345)	(56, 0.4105711760894353)	(58, 0.4112897473934883)	(60, 0.41200164466066147)	(62, 0.4126023079798389)	(64, 0.41320074662005635)	(66, 0.413663479843719)	(68, 0.41413733646218115)	(70, 0.414593395648964)	(72, 0.4150472301567869)	(74, 0.4154409983326921)	(76, 0.41580139632419855)	(78, 0.4161373228471459)	(80, 0.4164732493700933)	(82, 0.416773581029682)	(84, 0.41703164378903224)	(86, 0.41731195333798177)	(88, 0.4176100603186105)	(90, 0.4179281894098785)	(92, 0.41820182492194824)	(94, 0.41843986557065926)	(96, 0.4186845802562501)	(98, 0.41892707026288095)	(100, 0.41919625641703084)	(102, 0.4194476451395014)	(104, 0.4196612143196533)	(106, 0.4198592107470859)	(108, 0.4200527578165986)	(110, 0.4202485295650713)	(112, 0.4204887948927422)	(114, 0.4207223861835334)	(116, 0.4209292813268056)	(118, 0.421158423259677)	(120, 0.4213608690450294)	(122, 0.42157443822518137)	(124, 0.42175018786301477)	(126, 0.4219392855746077)	(128, 0.42211281053348115)	(130, 0.4222774367765149)	(132, 0.4224754332039475)	(134, 0.4226689802734602)	(136, 0.4228358311954539)	(138, 0.42300045743848774)
GW_P1_R1 - polya	(1, 0.0022094522061333168)	(2, 0.0061666800380138845)	(3, 0.008635236447425096)	(4, 0.011132058769921167)	(5, 0.014203621325142751)	(6, 0.017058478546713732)	(7, 0.01961654368089367)	(8, 0.024850448587107134)	(9, 0.03281672509152385)	(10, 0.039381483405482864)	(12, 0.04489569194978787)	(14, 0.051034106074716895)	(16, 0.05815240518658776)	(18, 0.06627178872021414)	(20, 0.07388709680382716)	(22, 0.08147178348159825)	(24, 0.08754659930208634)	(26, 0.09627134447428015)	(28, 0.1043695285730929)	(30, 0.11246300168639148)	(32, 0.11993226921906605)	(34, 0.126035350952639)	(36, 0.13337506638367463)	(38, 0.14149680541005807)	(40, 0.14923224362428175)	(42, 0.1560937940256318)	(44, 0.1623523382811715)	(46, 0.17122783498981792)	(48, 0.17787032456476032)	(50, 0.18273912809362763)	(52, 0.18889638616061322)	(54, 0.1943611293570197)	(56, 0.19954085792982054)	(58, 0.20451330313999905)	(60, 0.20926668752376987)	(62, 0.21392114121174366)	(64, 0.21862977123313015)	(66, 0.22298743283371292)	(68, 0.22793632311632067)	(70, 0.2330053435295391)	(72, 0.23732060626049462)	(74, 0.24097868651222706)	(76, 0.24465325521325904)	(78, 0.2480098323920863)	(80, 0.25171737799171723)	(82, 0.25538723570723504)	(84, 0.25935859649565807)	(86, 0.2630802750518314)	(88, 0.2669503496517004)	(90, 0.2702480395116008)	(92, 0.2735834172556144)	(94, 0.27695412739098413)	(96, 0.28043319019317914)	(98, 0.284399839996088)	(100, 0.28769517436323144)	(102, 0.29089157803457777)	(104, 0.2943188199961172)	(106, 0.29749873521816406)	(108, 0.3011285495568117)	(110, 0.304520459126995)	(112, 0.3078558368710086)	(114, 0.3106942056432801)	(116, 0.31363150511134863)	(118, 0.31669835668105606)	(120, 0.3199819135844141)	(122, 0.32314062937164734)	(124, 0.3262310358689255)	(126, 0.32928846546760465)	(128, 0.3323058516894136)	(130, 0.33553758775211606)	(132, 0.33839244497368703)	(134, 0.3412567241662863)	(136, 0.3437841678946243)	(138, 0.34655187188418357)
