Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GW_Mock1_R1	(1, 0.0)	(2, 0.1330827581408807)	(3, 0.0)	(4, 0.005640479567171241)	(5, 0.02766612134050546)	(6, 0.02669890837567643)	(7, 0.047221060688830876)	(8, 0.0)	(9, 0.0)	(10, 0.040488875398981335)	(15, 0.037446463924464685)	(20, 0.008658950126716868)	(25, 0.02291815908345367)	(30, 0.04047157099108116)	(35, 0.023408560997050104)	(40, 0.02768561428158456)	(45, 0.001308310813933608)	(50, 0.0068957144228202144)	(55, 0.007734733666601595)	(60, 0.010138802063935012)	(65, 0.021065912883661546)	(70, 0.0036700872784870596)	(75, 0.02726029698654047)	(80, 0.0031927200581094344)	(85, 0.021702553439544255)	(90, 0.01375708732897526)	(95, 0.01671359450111416)	(100, 0.006149301433542208)	(105, 0.000506593592190819)	(110, 0.015436624846312821)	(115, 0.02789905360663524)	(120, 0.000268111282756496)	(125, 0.013828775439079004)	(130, 1.2722088022678669e-05)	(135, 7.060878314225501e-05)	(140, 0.03023978744507775)	(145, 0.0044355272194819325)	(150, 0.0)
GW_Mock1_R2	(1, 0.20488156213895603)	(2, 0.14022193898523752)	(3, 0.0)	(4, 0.0014747603622145518)	(5, 0.12850046701542833)	(6, 0.034082286552737595)	(7, 0.03415410929765064)	(8, 0.0)	(9, 0.08127940632659747)	(10, 0.030752584098568767)	(15, 0.0064879879571451875)	(20, 0.0065837516170292485)	(25, 0.010332898901490268)	(30, 0.01719230093291696)	(35, 0.00014463338449428013)	(40, 0.019040232229134948)	(45, 0.013212532036316681)	(50, 0.006491011469247064)	(55, 0.0)	(60, 0.0002766711412459781)	(65, 0.012990763096270978)	(70, 0.027050769628276763)	(75, 0.017697298306564056)	(80, 0.025203279511034966)	(85, 0.03666573691419752)	(90, 0.0326457911359639)	(95, 0.01724689794920077)	(100, 2.4228802780133004e-05)	(105, 0.006566251478231489)	(110, 0.009686154785083886)	(115, 0.02242742988554409)	(120, 0.008479763037711226)	(125, 0.014018226116106638)	(130, 0.00036303492302999123)	(135, 0.009079967667470639)	(140, 0.009286590402332902)	(145, 0.010246877803870041)	(150, 0.0)
GW_Mock2_R1	(1, 0.0)	(2, 0.135533612889419)	(3, 0.0)	(4, 0.005378717266491978)	(5, 0.026358458849314)	(6, 0.023970967001432357)	(7, 0.04237569343031307)	(8, 0.0)	(9, 0.0)	(10, 0.03867919743135149)	(15, 0.03406520935444919)	(20, 0.009118206413672114)	(25, 0.021249592193981058)	(30, 0.038144707231596325)	(35, 0.02098735270232043)	(40, 0.02497566858140692)	(45, 0.0014767885688031811)	(50, 0.0062041334901956685)	(55, 0.006935918884974162)	(60, 0.00910028219134428)	(65, 0.019885115002034076)	(70, 0.0032453378983009684)	(75, 0.024896886629734796)	(80, 0.002809245303714671)	(85, 0.02003604125141572)	(90, 0.012841510265078335)	(95, 0.014999214795961792)	(100, 0.005733121844426987)	(105, 0.0005713330559894709)	(110, 0.013712866161692507)	(115, 0.025311763358520565)	(120, 0.00027395922772906466)	(125, 0.012740594722970207)	(130, 1.4031195744581537e-05)	(135, 8.15565741502951e-05)	(140, 0.02774351975976695)	(145, 0.004046129230858845)	(150, 0.0)
GW_Mock2_R2	(1, 0.2205228341869989)	(2, 0.12967922674901958)	(3, 0.0)	(4, 0.0015870874927489083)	(5, 0.11429774191295453)	(6, 0.030406218016699543)	(7, 0.030474824104282348)	(8, 0.0)	(9, 0.07542095894936454)	(10, 0.027593368425804503)	(15, 0.005714429721730507)	(20, 0.006340117240485697)	(25, 0.009199618970937044)	(30, 0.016356384018806548)	(35, 0.0001573665519973809)	(40, 0.019292775816343536)	(45, 0.011840900594746838)	(50, 0.005881678493619685)	(55, 0.0)	(60, 0.000336811689520487)	(65, 0.011803819798398401)	(70, 0.026201974905346377)	(75, 0.0191291786214443)	(80, 0.025802218341920046)	(85, 0.03324554564085684)	(90, 0.029969711744586812)	(95, 0.0157965730695893)	(100, 4.9087939144292565e-05)	(105, 0.005905281181906552)	(110, 0.01025760435247874)	(115, 0.023428522002689224)	(120, 0.007419041733759049)	(125, 0.012472968777361345)	(130, 0.00038442954102882264)	(135, 0.009979991181575934)	(140, 0.008865753851131137)	(145, 0.00922451156159384)	(150, 0.0)
GW_Mock3_R1	(1, 0.0)	(2, 0.1291025694018635)	(3, 0.0)	(4, 0.004796407837579571)	(5, 0.02931681933377717)	(6, 0.02587746566174655)	(7, 0.04702971321263085)	(8, 0.0)	(9, 0.0)	(10, 0.039880484907043795)	(15, 0.0369163226608513)	(20, 0.00841729531273936)	(25, 0.023127762467289988)	(30, 0.041489187564606046)	(35, 0.02367035149230374)	(40, 0.027265520330826156)	(45, 0.001387567832184162)	(50, 0.007184710365984619)	(55, 0.007972292702062124)	(60, 0.009991666707138035)	(65, 0.022085587231572487)	(70, 0.0037183617606682713)	(75, 0.027725081708816737)	(80, 0.0031634918510037493)	(85, 0.022073080750344268)	(90, 0.013968604477588043)	(95, 0.016790743365343343)	(100, 0.00616935488237169)	(105, 0.0005053492666310873)	(110, 0.015260352316681441)	(115, 0.028340402925927145)	(120, 0.00022660675038575702)	(125, 0.014283626568428902)	(130, 1.0070539920828712e-05)	(135, 4.960785951649479e-05)	(140, 0.030514750042740853)	(145, 0.0044477730405656285)	(150, 0.0)
GW_Mock3_R2	(1, 0.19817440174934517)	(2, 0.13703132521500522)	(3, 0.0)	(4, 0.0014682881135447666)	(5, 0.12654863795587956)	(6, 0.03434904314110787)	(7, 0.03329899467202738)	(8, 0.0)	(9, 0.0853164381127906)	(10, 0.02895108211276693)	(15, 0.006587719336104185)	(20, 0.006869808628221574)	(25, 0.010330519218267392)	(30, 0.01732826181480082)	(35, 0.00015753540855290704)	(40, 0.019264297888004458)	(45, 0.013441106090814246)	(50, 0.006538629715492074)	(55, 0.0)	(60, 0.00028300335841067455)	(65, 0.013710044104678354)	(70, 0.027537988336844628)	(75, 0.017538946557067794)	(80, 0.025096261158474447)	(85, 0.036924602243621825)	(90, 0.034324985294592374)	(95, 0.017411305134208035)	(100, 2.9777098924088447e-05)	(105, 0.006623658059488043)	(110, 0.00943784722016543)	(115, 0.022123106742133653)	(120, 0.007375716045069893)	(125, 0.01405621176003347)	(130, 0.00032314190156870656)	(135, 0.00907715524085798)	(140, 0.00987907954980543)	(145, 0.010657525237097695)	(150, 0.0)
GW_P1_R1	(1, 0.0)	(2, 0.12970285317539973)	(3, 0.00044754362384363556)	(4, 0.027860768330644853)	(5, 0.03149293816204952)	(6, 0.038733722897288124)	(7, 0.04475436238436356)	(8, 0.0)	(9, 0.020153596029506032)	(10, 0.046797045703296195)	(15, 0.04202952836298294)	(20, 0.00910539280173662)	(25, 0.029206225793484242)	(30, 0.05457599692967852)	(35, 0.025367469024976514)	(40, 0.029625272536578755)	(45, 0.007530453315375649)	(50, 0.01654713063388508)	(55, 0.016483207195952795)	(60, 0.012996373120546838)	(65, 0.023911208835702313)	(70, 0.007822866479787603)	(75, 0.02677139864854574)	(80, 0.0038849601944933756)	(85, 0.02091523527295031)	(90, 0.013273886622539897)	(95, 0.01713816531357363)	(100, 0.005908732644368016)	(105, 0.001500971115954439)	(110, 0.016707063401359606)	(115, 0.028551644720319076)	(120, 0.009510025329792185)	(125, 0.014385603846328612)	(130, 0.00014167992355181076)	(135, 0.006937258435179152)	(140, 0.028770183752946838)	(145, 0.005025834061147847)	(150, 0.0)
GW_P1_R2	(1, 0.18424664345815356)	(2, 0.13561985098116403)	(3, 0.0)	(4, 0.004984222673963858)	(5, 0.11634249825728869)	(6, 0.03180386320598299)	(7, 0.03144582830690808)	(8, 0.0)	(9, 0.07848030768011711)	(10, 0.027410398115492732)	(15, 0.005879309921651129)	(20, 0.015073269251053649)	(25, 0.010997324584216662)	(30, 0.01633644183025361)	(35, 0.00012910375728780109)	(40, 0.021908872305337126)	(45, 0.014697922016101206)	(50, 0.006092346503617528)	(55, 9.436787157483906e-07)	(60, 0.0002832694197262762)	(65, 0.012912208827423485)	(70, 0.027289794513056267)	(75, 0.020007616516483254)	(80, 0.026153432346434115)	(85, 0.03503614385971021)	(90, 0.032323317361761625)	(95, 0.016356255372441127)	(100, 5.792846810426258e-05)	(105, 0.007230075135366665)	(110, 0.008182617057289966)	(115, 0.01929036642321126)	(120, 0.007074112929135343)	(125, 0.014959253782923426)	(130, 0.0012348447574708897)	(135, 0.007891166398897434)	(140, 0.011097250766710401)	(145, 0.009773598732125865)	(150, 0.0)
GW_P2_R1	(1, 0.0)	(2, 0.12680136180620688)	(3, 0.0004993477858400985)	(4, 0.030300046778523715)	(5, 0.030945430237581197)	(6, 0.03939665597151645)	(7, 0.04268010320482351)	(8, 4.7108281683028155e-06)	(9, 0.023398683511960085)	(10, 0.04652037032762397)	(15, 0.04080802009073997)	(20, 0.009367010729853319)	(25, 0.029208076809111118)	(30, 0.054964259286883206)	(35, 0.024981441549985463)	(40, 0.02898868226500374)	(45, 0.007887660481151249)	(50, 0.017458098747303835)	(55, 0.01713893029030283)	(60, 0.012678388452281694)	(65, 0.02409159458163135)	(70, 0.008358491295441072)	(75, 0.0263036568393311)	(80, 0.003745305126060712)	(85, 0.020207896887576463)	(90, 0.01284770908439899)	(95, 0.017266424932288624)	(100, 0.005771772854178154)	(105, 0.0015196000640856618)	(110, 0.016606293875821975)	(115, 0.027775429475290336)	(120, 0.010546627089940131)	(125, 0.014175802018809419)	(130, 0.00019548711104605096)	(135, 0.00762372504771503)	(140, 0.02794862576629259)	(145, 0.005081032362124858)	(150, 0.0)
GW_P2_R2	(1, 0.1845278501805896)	(2, 0.13196442947866677)	(3, 0.0)	(4, 0.005544644754092415)	(5, 0.11335194738570234)	(6, 0.03190643918391497)	(7, 0.030808816220700416)	(8, 0.0)	(9, 0.07749783419674963)	(10, 0.027322803376156328)	(15, 0.005982751773744576)	(20, 0.015573055758775448)	(25, 0.010978113963412882)	(30, 0.015923211152775382)	(35, 0.00013946636681397802)	(40, 0.021790772672806505)	(45, 0.014856087346137858)	(50, 0.006092282488207015)	(55, 3.774686544367326e-06)	(60, 0.0002568353639709784)	(65, 0.012227698221314913)	(70, 0.02662224451284096)	(75, 0.02077011487565107)	(80, 0.026958462221528198)	(85, 0.0342069459305701)	(90, 0.031167673282600894)	(95, 0.016217648280607073)	(100, 6.649468797210931e-05)	(105, 0.00692942806857127)	(110, 0.008137863093115318)	(115, 0.01943654848233435)	(120, 0.007358577997380182)	(125, 0.014864243922099311)	(130, 0.0012820390468850304)	(135, 0.008077902089315957)	(140, 0.010873708024954448)	(145, 0.009725456344263049)	(150, 0.0)
