Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GW_Mock1_R1	(1, 38.46586348727485)	(2, 38.92290762029268)	(3, 39.16640243078813)	(4, 39.06004194735594)	(5, 38.91108866091711)	(6, 38.893119376249146)	(7, 39.00570277382793)	(8, 39.02392678983118)	(9, 38.9685066361104)	(10, 38.93442086376044)	(15, 39.197405704995546)	(20, 39.25736948047592)	(25, 39.014539767751096)	(30, 38.95448560783526)	(35, 38.94301576356211)	(40, 38.93199164372547)	(45, 38.93342103332344)	(50, 38.899506079266544)	(55, 38.86188301972395)	(60, 38.81949268261367)	(65, 38.79120062495028)	(70, 38.767308133361766)	(75, 38.74817094332099)	(80, 38.72207497163629)	(85, 38.696886659275386)	(90, 38.662482479500234)	(95, 38.58262630160649)	(100, 38.46029040078161)	(105, 38.33640654366521)	(110, 38.269940930210524)	(115, 38.279848609880574)	(120, 38.290609174980744)	(125, 38.25153832125355)	(130, 38.21368686994807)	(135, 38.157629552595694)	(140, 38.070774506733)	(145, 38.00698217903995)	(150, 37.9611421814873)
GW_Mock1_R2	(1, 37.06952810397674)	(2, 38.0243622750745)	(3, 38.54901047649651)	(4, 38.537450462057265)	(5, 38.580408028844396)	(6, 38.685733019822266)	(7, 38.845222702939836)	(8, 38.853423998535966)	(9, 38.83803640637481)	(10, 38.89968656075301)	(15, 39.02044928574435)	(20, 39.05472700677417)	(25, 38.73264315506018)	(30, 38.64863760825149)	(35, 38.65984348368247)	(40, 38.65504014228081)	(45, 38.66601562171756)	(50, 38.644818188189895)	(55, 38.645005973268326)	(60, 38.6322907840303)	(65, 38.608487042797044)	(70, 38.551386760832216)	(75, 38.53343560913872)	(80, 38.49003116514144)	(85, 38.43610986709068)	(90, 38.38040137090395)	(95, 38.35196612004721)	(100, 38.314528228430596)	(105, 38.249524209405465)	(110, 38.159530625503145)	(115, 38.080661041159615)	(120, 38.01157601097437)	(125, 37.93400789226441)	(130, 37.90496403039238)	(135, 37.82871806130953)	(140, 37.74847516076282)	(145, 37.67167236045689)	(150, 37.62230240317902)
GW_Mock2_R1	(1, 38.45985096287958)	(2, 38.91754312086989)	(3, 39.15367402293154)	(4, 39.06343762510606)	(5, 38.92802064256553)	(6, 38.9224990416873)	(7, 39.03142611611471)	(8, 39.05499523439247)	(9, 39.006706062111654)	(10, 38.980812478111794)	(15, 39.22869439550925)	(20, 39.28443642088627)	(25, 39.04985585174938)	(30, 38.99083494756023)	(35, 38.98349094793016)	(40, 38.9742164769461)	(45, 38.973991619850636)	(50, 38.94231226732096)	(55, 38.908207023732885)	(60, 38.87198429370439)	(65, 38.843154095416196)	(70, 38.81957978284608)	(75, 38.79934644359155)	(80, 38.77421185193349)	(85, 38.749858669717256)	(90, 38.71469124268664)	(95, 38.639851579438734)	(100, 38.52561097658289)	(105, 38.41402098705075)	(110, 38.351997899669385)	(115, 38.35889711057174)	(120, 38.362753019485424)	(125, 38.322126780311116)	(130, 38.28397328183753)	(135, 38.22821847500303)	(140, 38.14431594076576)	(145, 38.08141843295111)	(150, 38.03583052178785)
GW_Mock2_R2	(1, 37.475138182951305)	(2, 38.19208826365264)	(3, 38.71284661339084)	(4, 38.74073992763155)	(5, 38.7793738450451)	(6, 38.805826522921365)	(7, 38.97008916367304)	(8, 38.961961354739714)	(9, 38.914701456722206)	(10, 38.986592714792735)	(15, 39.0906247906085)	(20, 39.12352596504867)	(25, 38.870286150045445)	(30, 38.79314933178358)	(35, 38.79849636477097)	(40, 38.79229744684673)	(45, 38.80633976131676)	(50, 38.788024052861985)	(55, 38.789265244756585)	(60, 38.77793198789014)	(65, 38.756273824950235)	(70, 38.7037246545792)	(75, 38.686456795582984)	(80, 38.64634233592633)	(85, 38.600059603637916)	(90, 38.54992710090997)	(95, 38.520831283156)	(100, 38.48635307629095)	(105, 38.42820351339756)	(110, 38.35049615922502)	(115, 38.282488920215705)	(120, 38.22084502009185)	(125, 38.15198844974244)	(130, 38.12508052169899)	(135, 38.05372779433879)	(140, 37.979537792985006)	(145, 37.91230763829475)	(150, 37.86813019645342)
GW_Mock3_R1	(1, 38.42940673195862)	(2, 38.874483479600784)	(3, 39.10865941602266)	(4, 38.99813202606452)	(5, 38.845601896458724)	(6, 38.83526897458718)	(7, 38.94951762953516)	(8, 38.97109185419116)	(9, 38.91479555222605)	(10, 38.881825240522275)	(15, 39.16400531733866)	(20, 39.228115510492856)	(25, 38.967421739019976)	(30, 38.904395602138884)	(35, 38.89807263291935)	(40, 38.891339937910615)	(45, 38.89309781261485)	(50, 38.86099198640348)	(55, 38.82265385785139)	(60, 38.78299925121213)	(65, 38.75489404411147)	(70, 38.73249411556159)	(75, 38.71311052579337)	(80, 38.688400340840836)	(85, 38.662904309151926)	(90, 38.626758179914546)	(95, 38.54786065307976)	(100, 38.42304015395024)	(105, 38.29863169085799)	(110, 38.23003285753983)	(115, 38.2397493676071)	(120, 38.244742716032896)	(125, 38.205130358058284)	(130, 38.16412711045647)	(135, 38.10444461031916)	(140, 38.01372848938055)	(145, 37.94568590142456)	(150, 37.89703592816599)
GW_Mock3_R2	(1, 37.723650290612035)	(2, 38.30873996719844)	(3, 38.58526382445539)	(4, 38.71524380723904)	(5, 38.773945254121294)	(6, 38.829022965939316)	(7, 38.97366109142839)	(8, 38.9808042686072)	(9, 38.93378194132872)	(10, 39.006173012481824)	(15, 39.1157841728597)	(20, 39.14489334955806)	(25, 38.89622711800894)	(30, 38.81911534117683)	(35, 38.82510152102411)	(40, 38.81905765553337)	(45, 38.829926935605386)	(50, 38.80781447598012)	(55, 38.808109110239606)	(60, 38.79692872508846)	(65, 38.77289913542796)	(70, 38.71878718827505)	(75, 38.70396320639786)	(80, 38.66313690822771)	(85, 38.61399430843975)	(90, 38.56497021299036)	(95, 38.53958152148239)	(100, 38.507593765732636)	(105, 38.449722649311475)	(110, 38.371078273275714)	(115, 38.30274637897308)	(120, 38.24001399610902)	(125, 38.17106119418041)	(130, 38.147199548291766)	(135, 38.0747524907422)	(140, 37.999198996595865)	(145, 37.92808435063016)	(150, 37.87986508065636)
GW_P1_R1	(1, 38.52154670511082)	(2, 38.961447791374574)	(3, 39.19041195731037)	(4, 39.08959771528509)	(5, 38.96312461955848)	(6, 38.93219144069522)	(7, 39.04032156056483)	(8, 39.05578753756834)	(9, 39.00787945304139)	(10, 38.974516517445416)	(15, 39.23766007045467)	(20, 39.30040945530596)	(25, 39.06894788288547)	(30, 39.00870865512809)	(35, 39.00894509703424)	(40, 38.99806712658232)	(45, 38.99709078622253)	(50, 38.9637394158825)	(55, 38.926481169036364)	(60, 38.89225922821494)	(65, 38.85919284878632)	(70, 38.84014634085272)	(75, 38.82151150341511)	(80, 38.790466671599496)	(85, 38.76567748412846)	(90, 38.72952490541749)	(95, 38.65230780440621)	(100, 38.53716402849817)	(105, 38.425367559329665)	(110, 38.3621167293825)	(115, 38.36854206902545)	(120, 38.36469675675264)	(125, 38.31800389921068)	(130, 38.27725125823718)	(135, 38.20762977112761)	(140, 38.12732052790956)	(145, 38.06340927667227)	(150, 38.01560536152872)
GW_P1_R2	(1, 37.803067708969074)	(2, 38.509769241325465)	(3, 38.80400137918812)	(4, 38.82457500668607)	(5, 38.81535428895894)	(6, 38.87723732357418)	(7, 39.069738555850215)	(8, 39.037210237291866)	(9, 39.04302990613691)	(10, 39.06836055489945)	(15, 39.16757598266094)	(20, 39.18434810866416)	(25, 38.95119864666577)	(30, 38.87964576536454)	(35, 38.88287231863248)	(40, 38.866637847802146)	(45, 38.87161892324946)	(50, 38.84636357706753)	(55, 38.84212397285047)	(60, 38.82511458987431)	(65, 38.797374745131044)	(70, 38.74433497098251)	(75, 38.72798219805802)	(80, 38.6821979104292)	(85, 38.632346474506036)	(90, 38.583855241913795)	(95, 38.55492075275352)	(100, 38.51935322779143)	(105, 38.461733122939734)	(110, 38.38760121185225)	(115, 38.32087964741312)	(120, 38.26181331496592)	(125, 38.1914393997419)	(130, 38.1693308716788)	(135, 38.09277461151331)	(140, 38.016814314366584)	(145, 37.94849433346296)	(150, 37.90176981856577)
GW_P2_R1	(1, 38.522860471393734)	(2, 38.95083742036934)	(3, 39.17753971345917)	(4, 39.06824247009448)	(5, 38.93716019029861)	(6, 38.902776797663805)	(7, 39.01344385564327)	(8, 39.02577425994067)	(9, 38.97353682854799)	(10, 38.94199449869486)	(15, 39.21331918828662)	(20, 39.27825725738411)	(25, 39.045792377785816)	(30, 38.984486741959515)	(35, 38.98514753597614)	(40, 38.97363837785455)	(45, 38.97232355866234)	(50, 38.940462818664486)	(55, 38.901701045618715)	(60, 38.86756499559805)	(65, 38.83477995046214)	(70, 38.81756602577222)	(75, 38.8016901221768)	(80, 38.77145791129982)	(85, 38.746580753170875)	(90, 38.712963407780514)	(95, 38.63619242385111)	(100, 38.52301232723065)	(105, 38.40986419352449)	(110, 38.34830673813751)	(115, 38.35576930802777)	(120, 38.35555154563872)	(125, 38.3148579428942)	(130, 38.27383177907883)	(135, 38.20992455473068)	(140, 38.13093606000174)	(145, 38.06792330140397)	(150, 38.02162068876804)
GW_P2_R2	(1, 37.90706789104231)	(2, 38.49110280016337)	(3, 38.82455415544508)	(4, 38.77580923783982)	(5, 38.83099253851926)	(6, 38.91395955000285)	(7, 39.05467302377225)	(8, 39.04878147363185)	(9, 39.014453197686606)	(10, 39.05275300327073)	(15, 39.16253745932789)	(20, 39.18366757758381)	(25, 38.97118437286393)	(30, 38.8988182216556)	(35, 38.90018948170187)	(40, 38.8841209195943)	(45, 38.88864261080244)	(50, 38.863425271607426)	(55, 38.8588582748205)	(60, 38.8417059797642)	(65, 38.81304534403081)	(70, 38.76002644542374)	(75, 38.74153472924657)	(80, 38.69588441708284)	(85, 38.6464210196256)	(90, 38.598185974097916)	(95, 38.56644754537123)	(100, 38.53012340312543)	(105, 38.47214612286424)	(110, 38.39756565089504)	(115, 38.33164662966556)	(120, 38.272566096526916)	(125, 38.20244783711715)	(130, 38.17661925148084)	(135, 38.101492915342604)	(140, 38.02498256533715)	(145, 37.95524738723275)	(150, 37.906309530231304)
