Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GW_Mock1	7826278.0	8082511.0	131746.0	2860897.0	1983317.0
GW_Mock2	8202417.0	8513051.0	134159.0	2964503.0	2049819.0
GW_Mock3	8348339.0	8779551.0	128291.0	3042482.0	2176490.0
GW_P1	7722419.0	8492862.0	133895.0	3064066.0	1813739.0
GW_P2	7794657.0	8501608.0	135486.0	2904046.0	1891893.0
GW_P3	6960692.0	7631390.0	116516.0	2680475.0	1865122.0
SFZ_Mock1	8164108.0	9011906.0	121043.0	2904100.0	2075199.0
SFZ_Mock2	8147293.0	8956418.0	129470.0	2995797.0	2143366.0
SFZ_Mock3	8306680.0	9227979.0	122535.0	2995645.0	2133058.0
SFZ_P1	8612664.0	9206984.0	142601.0	2500395.0	1711362.0
SFZ_P2	8641144.0	9322072.0	142920.0	2614315.0	1843354.0
SFZ_P3	8425286.0	9023250.0	145200.0	2408891.0	1800557.0
