Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
GC_24hpi_1_R1	(1, 32.456683613445875)	(2, 32.535482991502505)	(3, 32.542978082323785)	(4, 32.52518849193251)	(5, 32.54994884997645)	(6, 36.078682969326785)	(7, 36.30984056773727)	(8, 36.379121665717676)	(9, 36.4068339251814)	(10, 36.40145365055772)	(12, 36.33727341859881)	(14, 36.374338469718765)	(16, 36.31612867837588)	(18, 36.355029240780745)	(20, 36.27271883303152)	(22, 36.30296751014377)	(24, 36.31511283247947)	(26, 36.29692652611396)	(28, 36.227458545116235)	(30, 36.16918038783877)	(32, 36.150183052877644)	(34, 36.12561650114124)	(36, 36.06149000580928)	(38, 35.9923423668907)	(40, 36.015397441700784)	(42, 35.99953705101714)	(44, 35.99889059693961)	(46, 35.953670303335)	(48, 35.97535423554092)	(50, 35.96270492717659)	(52, 35.93555524028653)	(54, 35.92552811690511)	(56, 35.90424450819231)	(58, 35.89021712511331)	(60, 35.90399179282789)	(62, 35.85922435000871)	(64, 35.8204656729075)	(66, 35.83718056760708)	(68, 35.82723812919288)	(70, 35.8065989963343)	(72, 35.58181728999037)	(74, 24.552951645960043)	(76, 32.92591948080518)	(78, 35.41496456845674)	(80, 35.5566138232089)	(82, 35.500408549449695)	(84, 35.42879120314339)	(86, 35.3739504588045)	(88, 35.28692102049793)	(90, 35.178271383541386)	(92, 35.21202103471386)	(94, 35.189132801472425)	(96, 35.200665069072954)	(98, 35.23301435626226)	(100, 35.1042143949892)	(102, 35.14157553335706)	(104, 35.02758562644853)	(106, 34.85421749558924)	(108, 34.75403692471742)	(110, 34.65946092304621)	(112, 34.49121996831677)	(114, 34.374682539788225)	(116, 34.26728375355592)	(118, 34.10824014955521)	(120, 34.00101897739028)	(122, 33.790154446628776)	(124, 33.13882108329406)
GC_24hpi_1_R2	(1, 32.406781458301374)	(2, 32.47340043241281)	(3, 32.48032619882846)	(4, 32.49001446053575)	(5, 32.49900240345316)	(6, 36.18412930106581)	(7, 36.21705783294919)	(8, 36.21480901537224)	(9, 36.199974644464305)	(10, 36.195038575599554)	(12, 36.18227066702548)	(14, 36.18257406246214)	(16, 36.1733821968885)	(18, 36.13508382845639)	(20, 36.10936935432349)	(22, 36.056869777549416)	(24, 36.03013793674098)	(26, 36.0030808220143)	(28, 36.01754111581915)	(30, 36.04269991799544)	(32, 36.085497315215875)	(34, 36.16640351103488)	(36, 36.1687101233227)	(38, 36.15797742252862)	(40, 36.130553850822224)	(42, 36.13166442540904)	(44, 36.11116075660152)	(46, 36.10772024678306)	(48, 36.09486617213861)	(50, 36.08682095390459)	(52, 36.07111348560325)	(54, 36.036229429719455)	(56, 36.01162717160823)	(58, 35.98917690771975)	(60, 35.97656378063657)	(62, 35.97858279748613)	(64, 35.9364301486488)	(66, 35.896250910281296)	(68, 35.89006111712509)	(70, 35.8689296791921)	(72, 35.845919635377555)	(74, 35.84262203963021)	(76, 35.81069642831832)	(78, 35.77405716496551)	(80, 35.72714478211502)	(82, 35.703591072208056)	(84, 35.66900036481178)	(86, 35.63538813434597)	(88, 35.594372427105384)	(90, 35.539445960068974)	(92, 35.501928634114044)	(94, 35.43229705454917)	(96, 35.390867476400516)	(98, 35.316464851893464)	(100, 35.22356056030828)	(102, 35.178263480738806)	(104, 35.119155681068484)	(106, 35.05206330227486)	(108, 34.96214319009235)	(110, 34.874693803709484)	(112, 34.76208901015693)	(114, 34.621798264277714)	(116, 34.502983244291116)	(118, 34.309572369436715)	(120, 34.09621730503)	(122, 33.77018723685371)	(124, 33.07083530069385)
GC_24hpi_2_R1	(1, 32.454837838248096)	(2, 32.53519656934703)	(3, 32.5429216366216)	(4, 32.52530851740596)	(5, 32.549418081818466)	(6, 36.08854220708153)	(7, 36.318231714693674)	(8, 36.38667372503928)	(9, 36.414596046054044)	(10, 36.41227860472638)	(12, 36.345873937211024)	(14, 36.384822610746674)	(16, 36.3269720692021)	(18, 36.36618717308562)	(20, 36.28393261050289)	(22, 36.31495793002709)	(24, 36.32818593887801)	(26, 36.309498588533565)	(28, 36.24127694424335)	(30, 36.18376794215692)	(32, 36.16550301204404)	(34, 36.140793147933614)	(36, 36.0779773783941)	(38, 36.01014063835295)	(40, 36.03554884135208)	(42, 36.01825742477514)	(44, 36.0174231306038)	(46, 35.97294252653424)	(48, 35.99407012182013)	(50, 35.98037304454012)	(52, 35.9528224513634)	(54, 35.94396908319284)	(56, 35.92182318012236)	(58, 35.909277406249316)	(60, 35.92359287304963)	(62, 35.878751528998436)	(64, 35.8396499157605)	(66, 35.85569799079199)	(68, 35.84614761107497)	(70, 35.826327493184365)	(72, 35.60659659541024)	(74, 24.564671729777537)	(76, 32.949248067933326)	(78, 35.43947512343158)	(80, 35.57813879144825)	(82, 35.5207584767618)	(84, 35.45162993961699)	(86, 35.39554786555298)	(88, 35.30809769429293)	(90, 35.2023126326271)	(92, 35.23432868587648)	(94, 35.21205153346901)	(96, 35.224903855296624)	(98, 35.251190155185455)	(100, 35.12602270407768)	(102, 35.161194587870426)	(104, 35.04806687328206)	(106, 34.87445252543151)	(108, 34.78099019195297)	(110, 34.67953115499636)	(112, 34.5129274368054)	(114, 34.39386223707743)	(116, 34.29151219192239)	(118, 34.13674150654506)	(120, 34.02676316788465)	(122, 33.81568738018879)	(124, 33.170279966622445)
GC_24hpi_2_R2	(1, 32.3988678829436)	(2, 32.4632548555937)	(3, 32.47024144851895)	(4, 32.48094663238152)	(5, 32.48889893264237)	(6, 36.17249684433312)	(7, 36.21358934741223)	(8, 36.20632019177991)	(9, 36.19196824047742)	(10, 36.18802839636923)	(12, 36.17101319298422)	(14, 36.17214446235249)	(16, 36.16218530974885)	(18, 36.12175666475072)	(20, 36.09546252919513)	(22, 36.04443558132119)	(24, 36.01628119746921)	(26, 35.98938323197984)	(28, 36.0033904567797)	(30, 36.027441800132095)	(32, 36.070859845093445)	(34, 36.15083475953334)	(36, 36.154629432771046)	(38, 36.141872586388246)	(40, 36.11302205908611)	(42, 36.11538809855115)	(44, 36.09462349219653)	(46, 36.09088670510561)	(48, 36.075629573020876)	(50, 36.066365346097044)	(52, 36.04944029829016)	(54, 36.01691516571703)	(56, 35.99240985276746)	(58, 35.96737313613136)	(60, 35.95379319330732)	(62, 35.954154143753925)	(64, 35.90919587630309)	(66, 35.867754826308044)	(68, 35.86139051869705)	(70, 35.838670073122316)	(72, 35.81402199124996)	(74, 35.81007509695159)	(76, 35.777458255115604)	(78, 35.73833502955179)	(80, 35.68829837659421)	(82, 35.661954110056286)	(84, 35.62585693430739)	(86, 35.58810176215591)	(88, 35.547266925093666)	(90, 35.493066873815266)	(92, 35.44934622711392)	(94, 35.374458502367915)	(96, 35.33229405765051)	(98, 35.25231349993663)	(100, 35.15834686280871)	(102, 35.108646481612716)	(104, 35.04613487438719)	(106, 34.973603516220905)	(108, 34.88110018288245)	(110, 34.78712186020344)	(112, 34.66888620438468)	(114, 34.520699117439094)	(116, 34.39634416418663)	(118, 34.19292408172389)	(120, 33.97202837197101)	(122, 33.63603064515071)	(124, 32.91715283654206)
GC_24hpi_3_R1	(1, 32.47081837852865)	(2, 32.548621848813056)	(3, 32.55613815213476)	(4, 32.540146038280376)	(5, 32.5636683405785)	(6, 36.10710643564842)	(7, 36.33090909667169)	(8, 36.399126927673755)	(9, 36.42673885119028)	(10, 36.42233439992201)	(12, 36.356640982209385)	(14, 36.39515491494835)	(16, 36.33890662511996)	(18, 36.377207715539726)	(20, 36.29389570039649)	(22, 36.32335098705862)	(24, 36.338446567258245)	(26, 36.31879798762323)	(28, 36.25262851397349)	(30, 36.19533846267853)	(32, 36.176982139381835)	(34, 36.15231533815138)	(36, 36.09076941835917)	(38, 36.022944018060244)	(40, 36.04795042295873)	(42, 36.03106463611904)	(44, 36.03292216818293)	(46, 35.98709540084703)	(48, 36.00839756786404)	(50, 35.99421586896024)	(52, 35.967032500013644)	(54, 35.958550357095966)	(56, 35.93733350922048)	(58, 35.92408801089118)	(60, 35.9378776247496)	(62, 35.892475403965456)	(64, 35.853673652454624)	(66, 35.86968485915056)	(68, 35.86024824341557)	(70, 35.84004155923558)	(72, 35.619673545290546)	(74, 24.57988066783247)	(76, 32.97325104906201)	(78, 35.456385370993075)	(80, 35.59602876364097)	(82, 35.538606923527695)	(84, 35.4688458054988)	(86, 35.41290989856125)	(88, 35.32836076359164)	(90, 35.22206928791229)	(92, 35.25356588028515)	(94, 35.230749830496066)	(96, 35.23962768162542)	(98, 35.27221008148912)	(100, 35.144382172708404)	(102, 35.1827470110731)	(104, 35.067738623968864)	(106, 34.89450920337484)	(108, 34.79687581199286)	(110, 34.700640512109985)	(112, 34.536679129552425)	(114, 34.42071561927125)	(116, 34.316975744662535)	(118, 34.165045638999196)	(120, 34.05882790369868)	(122, 33.85119107017917)	(124, 33.21446302030464)
GC_24hpi_3_R2	(1, 32.37988660081195)	(2, 32.44813340946003)	(3, 32.45089519042011)	(4, 32.45811409555711)	(5, 32.46449513922627)	(6, 36.13714357684064)	(7, 36.17586601279816)	(8, 36.16919270240244)	(9, 36.153970458195445)	(10, 36.150185139991464)	(12, 36.13820265697848)	(14, 36.13726458115152)	(16, 36.12762162800943)	(18, 36.08866174891865)	(20, 36.06333875758645)	(22, 36.01265843943)	(24, 35.982811048995316)	(26, 35.95469944974167)	(28, 35.969656782421794)	(30, 35.99379693491968)	(32, 36.039611486144196)	(34, 36.12533454460757)	(36, 36.12909210543374)	(38, 36.115918767466766)	(40, 36.08583578024479)	(42, 36.086608570798994)	(44, 36.065770702097325)	(46, 36.06357776087346)	(48, 36.04881132420006)	(50, 36.040846186150596)	(52, 36.02177601091029)	(54, 35.98672666369339)	(56, 35.96444053511959)	(58, 35.938231101749295)	(60, 35.923177678469216)	(62, 35.92492082855658)	(64, 35.87969671610303)	(66, 35.83684305414647)	(68, 35.83073940695836)	(70, 35.8056210660513)	(72, 35.78186318704121)	(74, 35.77828798874644)	(76, 35.744420280362334)	(78, 35.70480091635676)	(80, 35.65667248596246)	(82, 35.63158807709813)	(84, 35.594391624254314)	(86, 35.556059932523105)	(88, 35.515442530236456)	(90, 35.458777476431095)	(92, 35.41433867809397)	(94, 35.33939015763356)	(96, 35.29745142155619)	(98, 35.217435070955595)	(100, 35.12003781942511)	(102, 35.07103986521521)	(104, 35.006675281865405)	(106, 34.93482338512086)	(108, 34.83979792987081)	(110, 34.74799647534165)	(112, 34.62974500541687)	(114, 34.477718927455186)	(116, 34.351087985002664)	(118, 34.14453949630989)	(120, 33.91751616450165)	(122, 33.57415778871042)	(124, 32.84406559389349)
GC_48hpi_1_R1	(1, 32.42956114903772)	(2, 32.51203862543387)	(3, 32.52054315169802)	(4, 32.504598034382006)	(5, 32.530326431449886)	(6, 36.0430160978291)	(7, 36.288090573293964)	(8, 36.36527047098137)	(9, 36.39210749038703)	(10, 36.388478785002604)	(12, 36.32158157339306)	(14, 36.35750509808701)	(16, 36.29774840902138)	(18, 36.33808177128439)	(20, 36.25572459927774)	(22, 36.28514149999785)	(24, 36.29687399400109)	(26, 36.27905854198097)	(28, 36.20866773275622)	(30, 36.15030179197835)	(32, 36.131520529187924)	(34, 36.104147589384766)	(36, 36.040934114883996)	(38, 35.970263393531965)	(40, 35.99602702326112)	(42, 35.97519224220631)	(44, 35.97682530502969)	(46, 35.93110490506436)	(48, 35.951409590603475)	(50, 35.93955718204515)	(52, 35.9108479713623)	(54, 35.90057300829994)	(56, 35.879609559577865)	(58, 35.86562617183871)	(60, 35.88136501127903)	(62, 35.83636154251515)	(64, 35.79689767771946)	(66, 35.81236814517527)	(68, 35.803286365667944)	(70, 35.78409708676776)	(72, 35.558985347762004)	(74, 24.51226100021021)	(76, 32.88105656427793)	(78, 35.386388067841004)	(80, 35.527545247328845)	(82, 35.46851388948026)	(84, 35.39584063439443)	(86, 35.337438790389214)	(88, 35.2506025674807)	(90, 35.13618161049689)	(92, 35.17342038291342)	(94, 35.153764660588074)	(96, 35.16610897256648)	(98, 35.19586406687097)	(100, 35.0688739908143)	(102, 35.10905713213264)	(104, 34.993153473671214)	(106, 34.81662132405711)	(108, 34.72020078694759)	(110, 34.62061576478773)	(112, 34.45277313192136)	(114, 34.331690016716024)	(116, 34.22548152722676)	(118, 34.07163449556767)	(120, 33.956458183671614)	(122, 33.74510942421091)	(124, 33.0824935341529)
GC_48hpi_1_R2	(1, 32.32942025533214)	(2, 32.39445676520609)	(3, 32.397041786155484)	(4, 32.4018877540657)	(5, 32.40728197022212)	(6, 36.047724557422036)	(7, 36.10439361848151)	(8, 36.097301045346356)	(9, 36.08591967766179)	(10, 36.08090471732315)	(12, 36.06242329787293)	(14, 36.055919135999666)	(16, 36.04288292896409)	(18, 36.00566867881837)	(20, 35.981812401477505)	(22, 35.925125305531296)	(24, 35.88729916183941)	(26, 35.85652068872339)	(28, 35.8782770712575)	(30, 35.90906259213642)	(32, 35.95686756829531)	(34, 36.040096755485365)	(36, 36.04272075438075)	(38, 36.03024930505778)	(40, 36.00676774754153)	(42, 36.00829386305498)	(44, 35.98248875633025)	(46, 35.97907441955634)	(48, 35.96124251350009)	(50, 35.95915925757585)	(52, 35.943492304395576)	(54, 35.90190989399976)	(56, 35.87278646129693)	(58, 35.84687531332148)	(60, 35.834300621158796)	(62, 35.8412989318018)	(64, 35.794468790651294)	(66, 35.7435183170946)	(68, 35.73753334307891)	(70, 35.71630592817241)	(72, 35.69282428161239)	(74, 35.69106517482734)	(76, 35.65393109932393)	(78, 35.61080640638579)	(80, 35.56151014989361)	(82, 35.535424324663985)	(84, 35.501642801605726)	(86, 35.46076905116881)	(88, 35.41648837621757)	(90, 35.356854671356515)	(92, 35.31415454660212)	(94, 35.241263867663136)	(96, 35.19691244320103)	(98, 35.11013406766661)	(100, 35.00948368436654)	(102, 34.95952200071301)	(104, 34.89638042909448)	(106, 34.82993381312542)	(108, 34.73128180602093)	(110, 34.630202746753326)	(112, 34.50678863749907)	(114, 34.349197042144134)	(116, 34.21803034625989)	(118, 34.00541880661709)	(120, 33.75727516859472)	(122, 33.38926092074634)	(124, 32.62151275578841)
GC_48hpi_2_R1	(1, 32.44765198534857)	(2, 32.52808075535996)	(3, 32.538223458270494)	(4, 32.522104937697)	(5, 32.544779303727445)	(6, 36.067377132160594)	(7, 36.30435499877837)	(8, 36.37704818755236)	(9, 36.401770559204124)	(10, 36.39707215055967)	(12, 36.32994010323938)	(14, 36.36686324500049)	(16, 36.307258871289704)	(18, 36.34692227418735)	(20, 36.262661466961546)	(22, 36.29394202544364)	(24, 36.30510787687996)	(26, 36.28899520973991)	(28, 36.217883998364584)	(30, 36.15917975615672)	(32, 36.14283633765347)	(34, 36.11429358578145)	(36, 36.05223301404396)	(38, 35.98344162642338)	(40, 36.00968697771352)	(42, 35.98989228587706)	(44, 35.990996712402236)	(46, 35.94447470752542)	(48, 35.965505143383524)	(50, 35.95317598969689)	(52, 35.926989854198915)	(54, 35.917736922327514)	(56, 35.896629189630126)	(58, 35.88257923458514)	(60, 35.89556151439169)	(62, 35.8503211571453)	(64, 35.815561216471124)	(66, 35.82968096018412)	(68, 35.821458330964525)	(70, 35.802042408124265)	(72, 35.57931006020563)	(74, 24.53179425550374)	(76, 32.91135284296561)	(78, 35.40970311572768)	(80, 35.54997791625049)	(82, 35.49233958453157)	(84, 35.421030067951406)	(86, 35.3643387179355)	(88, 35.27948097144758)	(90, 35.16674867642862)	(92, 35.203190607749654)	(94, 35.181229161816674)	(96, 35.19576561350165)	(98, 35.22573609525619)	(100, 35.09877024654031)	(102, 35.137709012999466)	(104, 35.02363562371579)	(106, 34.85191713205293)	(108, 34.753976231324096)	(110, 34.65498543299087)	(112, 34.49222221591437)	(114, 34.37243538804829)	(116, 34.26787510031735)	(118, 34.11734284850825)	(120, 34.003764368978494)	(122, 33.798115475597456)	(124, 33.153538504631285)
GC_48hpi_2_R2	(1, 32.386650223053785)	(2, 32.452912228683076)	(3, 32.461542657513206)	(4, 32.47126372337471)	(5, 32.47518027151199)	(6, 36.14307189832415)	(7, 36.18566850418071)	(8, 36.17702295134417)	(9, 36.163767930411346)	(10, 36.16496810574857)	(12, 36.15031272205475)	(14, 36.150957422378255)	(16, 36.14041209816733)	(18, 36.10144231131268)	(20, 36.0716346665261)	(22, 36.02154870331894)	(24, 35.99026229140341)	(26, 35.96337740831609)	(28, 35.979616003375625)	(30, 36.006846460517394)	(32, 36.052222612296944)	(34, 36.13182224767172)	(36, 36.13594997543885)	(38, 36.12472805611572)	(40, 36.09702564451254)	(42, 36.09962721747708)	(44, 36.07708725707237)	(46, 36.07376898219811)	(48, 36.056554337926315)	(50, 36.05077581807144)	(52, 36.03535197383815)	(54, 35.99910419690924)	(56, 35.972126206358375)	(58, 35.945937075296975)	(60, 35.93421839061229)	(62, 35.93814398649245)	(64, 35.89655335553925)	(66, 35.84799028984736)	(68, 35.841479077215155)	(70, 35.82060433252536)	(72, 35.79711551763351)	(74, 35.79585509215828)	(76, 35.76034352899707)	(78, 35.72189422905931)	(80, 35.67263945537826)	(82, 35.64832070464874)	(84, 35.615276369693305)	(86, 35.57540979133317)	(88, 35.53317043747758)	(90, 35.4792501071773)	(92, 35.438420696871034)	(94, 35.3696412946034)	(96, 35.32850618680834)	(98, 35.24925221114849)	(100, 35.15514210968472)	(102, 35.10762656627162)	(104, 35.048893740287085)	(106, 34.982107664278004)	(108, 34.89061377256938)	(110, 34.795816500933945)	(112, 34.68022156070425)	(114, 34.53253045595453)	(116, 34.41260600702986)	(118, 34.21602757690444)	(120, 33.987218129095666)	(122, 33.64886628852753)	(124, 32.92676556788446)
