Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
results/alignment/PRJNA450886/GC_24hpi_1/Aligned.out.bam	16214720	10016341	0	0	0	0	0	0	0	4031252	0	0	923370	0	1243757	61.77313576799352
results/alignment/PRJNA450886/GC_24hpi_2/Aligned.out.bam	17176290	10307157	0	0	0	0	0	0	0	4559465	0	0	1019648	0	1290020	60.00805179698293
results/alignment/PRJNA450886/GC_24hpi_3/Aligned.out.bam	15034762	9043284	0	0	0	0	0	0	0	4004229	0	0	889202	0	1098047	60.149166312044045
results/alignment/PRJNA450886/GC_48hpi_1/Aligned.out.bam	21556053	10314932	0	0	0	0	0	0	0	8868471	0	0	1088442	0	1284208	47.85167303123629
results/alignment/PRJNA450886/GC_48hpi_2/Aligned.out.bam	22183542	9875381	0	0	0	0	0	0	0	9920156	0	0	1129120	0	1258885	44.51670071443055
results/alignment/PRJNA450886/GC_48hpi_3/Aligned.out.bam	18266791	8738062	0	0	0	0	0	0	0	7475783	0	0	955012	0	1097934	47.83578024186077
results/alignment/PRJNA450886/GC_6hpi_1/Aligned.out.bam	15188872	9455084	0	0	0	0	0	0	0	3738125	0	0	766255	0	1229408	62.250073606519294
results/alignment/PRJNA450886/GC_6hpi_2/Aligned.out.bam	14836615	9326714	0	0	0	0	0	0	0	3557217	0	0	749300	0	1203384	62.86281608035256
results/alignment/PRJNA450886/GC_6hpi_3/Aligned.out.bam	17300001	10630149	0	0	0	0	0	0	0	4391151	0	0	910625	0	1368076	61.44594442508991
results/alignment/PRJNA450886/GI_24hpi_1/Aligned.out.bam	17030952	10137385	0	0	0	0	0	0	0	4537827	0	0	1072642	0	1283098	59.52330204441889
results/alignment/PRJNA450886/GI_24hpi_2/Aligned.out.bam	14382047	8735370	0	0	0	0	0	0	0	3640229	0	0	888319	0	1118129	60.738015944461864
results/alignment/PRJNA450886/GI_24hpi_3/Aligned.out.bam	16381984	7268344	0	0	0	0	0	0	0	7331139	0	0	860098	0	922403	44.36791050461287
results/alignment/PRJNA450886/GI_48hpi_1/Aligned.out.bam	18397472	9613900	0	0	0	0	0	0	0	6705456	0	0	925165	0	1152951	52.256636129137746
results/alignment/PRJNA450886/GI_48hpi_2/Aligned.out.bam	16482370	9134586	0	0	0	0	0	0	0	5358356	0	0	888343	0	1101085	55.42034306959497
results/alignment/PRJNA450886/GI_48hpi_3/Aligned.out.bam	17223460	9765121	0	0	0	0	0	0	0	5379743	0	0	902252	0	1176344	56.696627739141846
results/alignment/PRJNA450886/GI_6hpi_1/Aligned.out.bam	18048025	11268038	0	0	0	0	0	0	0	4414185	0	0	936377	0	1429425	62.43363470518243
results/alignment/PRJNA450886/GI_6hpi_2/Aligned.out.bam	16145676	10153984	0	0	0	0	0	0	0	3880166	0	0	836410	0	1275116	62.88980405651643
results/alignment/PRJNA450886/GI_6hpi_3/Aligned.out.bam	18636287	11489632	0	0	0	0	0	0	0	4704301	0	0	982480	0	1459874	61.65193742723537
results/alignment/PRJNA450886/HC_24hpi_1/Aligned.out.bam	16280350	9960092	0	0	0	0	0	0	0	4113236	0	0	1010668	0	1196354	61.17861102494725
results/alignment/PRJNA450886/HC_24hpi_2/Aligned.out.bam	15978781	9625771	0	0	0	0	0	0	0	4187461	0	0	981120	0	1184429	60.24095955755323
results/alignment/PRJNA450886/HC_24hpi_3/Aligned.out.bam	14401335	8635379	0	0	0	0	0	0	0	3829959	0	0	871943	0	1064054	59.962350712624904
