Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
GC_24hpi_1	14466269.0	249.0	12183468.0	84.22	245.29	9093212.0	9028269.0	8909188.0	116416.0	6618.0	60990.0	1.18	0.05	2.94	0.04	2.39	1294399.0	8.95	14051.0	0.1	0.0	6.39	0.34	0	925127	49224	93.17	13477867.0
GC_24hpi_2	15217861.0	249.0	12616825.0	82.91	245.16	9316448.0	9244999.0	9105209.0	124997.0	6891.0	79351.0	1.21	0.05	2.96	0.04	2.38	1456576.0	9.57	16622.0	0.11	0.0	7.05	0.37	0	1071598	56240	92.47999999999999	14073401.0
GC_24hpi_3	13251594.0	249.0	11030533.0	83.24	245.31	8127857.0	8074661.0	7962807.0	99719.0	6023.0	59308.0	1.2	0.05	2.94	0.04	2.33	1249835.0	9.43	18827.0	0.14	0.0	6.79	0.4	0	899414	52985	92.66999999999999	12280368.0
GC_48hpi_1	16246290.0	249.0	12687582.0	78.1	245.96	9074557.0	9002298.0	8889780.0	122291.0	6556.0	55930.0	1.19	0.05	2.84	0.04	2.41	1904577.0	11.72	192738.0	1.19	0.0	8.15	0.84	0	1324845	136548	89.82	14592159.0
GC_48hpi_2	15802691.0	249.0	12263386.0	77.6	245.48	8943496.0	8878841.0	8742993.0	116599.0	6612.0	77292.0	1.17	0.05	2.87	0.04	2.37	1982591.0	12.55	213272.0	1.35	0.0	6.88	1.62	0	1087398	256044	90.14999999999999	14245977.0
GC_48hpi_3	13678090.0	249.0	10791008.0	78.89	246.08	7760359.0	7709476.0	7606542.0	101586.0	5940.0	46291.0	1.18	0.05	2.85	0.04	2.38	1616714.0	11.82	151980.0	1.11	0.0	6.89	1.29	0	942016	176372	90.71000000000001	12407722.0
GC_6hpi_1	13658087.0	249.0	11450747.0	83.84	245.74	8812302.0	8756101.0	8641014.0	113055.0	6054.0	52179.0	1.18	0.04	2.85	0.04	2.35	1161428.0	8.5	18382.0	0.13	0.0	7.13	0.4	0	972947	54583	92.34	12612175.0
GC_6hpi_2	13502807.0	249.0	11279398.0	83.53	245.7	8579347.0	8528461.0	8417919.0	102285.0	6366.0	52777.0	1.18	0.04	2.83	0.04	2.39	1100337.0	8.15	16731.0	0.12	0.0	7.94	0.25	0	1072570	33771	91.68	12379735.0
GC_6hpi_3	15344208.0	249.0	12908850.0	84.13	245.74	10048510.0	9986955.0	9857592.0	120922.0	7605.0	62391.0	1.17	0.04	2.86	0.04	2.37	1330687.0	8.67	20307.0	0.13	0.0	6.7	0.37	0	1027615	56749	92.8	14239537.0
GI_24hpi_1	15101618.0	249.0	12493125.0	82.73	245.09	9149663.0	9066976.0	8947819.0	131341.0	7115.0	63388.0	1.22	0.05	3.02	0.05	2.36	1440332.0	9.54	15393.0	0.1	0.0	7.17	0.46	0	1083270	69498	92.27000000000001	13933457.0
GI_24hpi_2	12836756.0	249.0	10741818.0	83.68	245.04	7756156.0	7695948.0	7599308.0	100146.0	5739.0	50963.0	1.2	0.05	2.99	0.05	2.38	1161846.0	9.05	16167.0	0.13	0.0	6.71	0.43	0	861704	55221	92.73	11903664.0
