Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
GC_24hpi_1	14.466268999999999	93.17	84.22	1.2943989999999999	249.0	245.29	9.093212	9.028269	8.909188	0.11641599999999999	0.006618	0.060989999999999996	1.18	0.05	2.94	0.04	2.39
GC_24hpi_2	15.217861	92.47999999999999	82.91	1.4565759999999999	249.0	245.16	9.316448	9.244999	9.105209	0.124997	0.0068909999999999996	0.07935099999999999	1.21	0.05	2.96	0.04	2.38
GC_24hpi_3	13.251593999999999	92.66999999999999	83.24	1.249835	249.0	245.31	8.127856999999999	8.074660999999999	7.962807	0.099719	0.006023	0.059308	1.2	0.05	2.94	0.04	2.33
GC_48hpi_1	16.24629	89.82	78.1	1.904577	249.0	245.96	9.074557	9.002298	8.88978	0.122291	0.006555999999999999	0.05593	1.19	0.05	2.84	0.04	2.41
GC_48hpi_2	15.802691	90.14999999999999	77.6	1.982591	249.0	245.48	8.943496	8.878841	8.742993	0.116599	0.006612	0.077292	1.17	0.05	2.87	0.04	2.37
GC_48hpi_3	13.67809	90.71000000000001	78.89	1.616714	249.0	246.08	7.760358999999999	7.7094759999999996	7.606541999999999	0.101586	0.00594	0.046291	1.18	0.05	2.85	0.04	2.38
GC_6hpi_1	13.658087	92.34	83.84	1.161428	249.0	245.74	8.812301999999999	8.756101	8.641014	0.11305499999999999	0.0060539999999999995	0.052178999999999996	1.18	0.04	2.85	0.04	2.35
GC_6hpi_2	13.502806999999999	91.68	83.53	1.100337	249.0	245.7	8.579347	8.528461	8.417919	0.102285	0.006366	0.052777	1.18	0.04	2.83	0.04	2.39
GC_6hpi_3	15.344208	92.8	84.13	1.330687	249.0	245.74	10.04851	9.986955	9.857592	0.12092199999999999	0.007605	0.062390999999999995	1.17	0.04	2.86	0.04	2.37
GI_24hpi_1	15.101617999999998	92.27000000000001	82.73	1.440332	249.0	245.09	9.149663	9.066976	8.947818999999999	0.13134099999999999	0.007115	0.063388	1.22	0.05	3.02	0.05	2.36
GI_24hpi_2	12.836756	92.73	83.68	1.161846	249.0	245.04	7.756156	7.695948	7.599308	0.100146	0.005738999999999999	0.050962999999999994	1.2	0.05	2.99	0.05	2.38
GI_24hpi_3	11.677354	90.31	77.51	1.495199	249.0	245.17	6.566297	6.511591999999999	6.415876	0.089872	0.005791999999999999	0.054757	1.21	0.05	2.87	0.04	2.34
GI_48hpi_1	14.52651	91.97	80.49	1.667333	249.0	246.04	8.325804999999999	8.273558	8.14104	0.10427199999999999	0.006157	0.074336	1.18	0.05	2.81	0.04	2.38
GI_48hpi_2	13.671904999999999	91.68	81.36	1.410717	249.0	246.03	8.024445	7.974990999999999	7.868417	0.098047	0.005836	0.052145	1.18	0.05	2.84	0.04	2.34
GI_48hpi_3	14.408546999999999	92.14	82.2	1.432726	249.0	246.05	8.711366	8.659811999999999	8.531882	0.108849	0.006058	0.064577	1.16	0.04	2.83	0.04	2.41
GI_6hpi_1	16.078426999999998	93.34	84.8	1.37317	249.0	245.78	10.497304	10.436335	10.28979	0.12372799999999999	0.007287999999999999	0.076498	1.17	0.04	2.87	0.04	2.42
GI_6hpi_2	14.565800999999999	92.67999999999999	84.21	1.233047	249.0	245.44	9.582772	9.520564	9.397242	0.11777199999999999	0.01142	0.056338	1.18	0.04	2.82	0.04	2.35
GI_6hpi_3	16.602342	92.66	83.92	1.4508409999999998	249.0	245.62	10.800863	10.736187	10.589772	0.128302	0.007818	0.074971	1.18	0.04	2.85	0.04	2.34
HC_24hpi_1	14.360949999999999	93.63	84.72	1.2788819999999999	249.0	245.64	9.242998	9.180539	9.06799	0.114967	0.0063679999999999995	0.053673	1.03	0.04	2.95	0.04	2.16
HC_24hpi_2	13.975900999999999	93.52000000000001	84.37	1.278362	249.0	245.75	8.827150999999999	8.770337	8.658432	0.107391	0.008453	0.052875	1.04	0.04	2.94	0.04	2.18
HC_24hpi_3	12.689988999999999	92.38	83.3	1.151949	249.0	245.03	7.752128	7.698563	7.606535	0.093109	0.005689	0.046794999999999996	1.07	0.04	2.93	0.04	2.18
HC_48hpi_1	15.117773999999999	93.97999999999999	84.46	1.438612	249.0	245.44	8.9543	8.854566	8.748541	0.14249399999999998	0.006116	0.057149	1.06	0.04	2.97	0.04	2.21
