Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
GW_M1_R1	(21.0, 1.0)	(22.0, 7.0)	(23.0, 195.0)	(24.0, 4850.0)	(25.0, 20561.0)	(26.0, 38090.0)	(27.0, 62294.0)	(28.0, 95572.0)	(29.0, 137769.0)	(30.0, 188067.0)	(31.0, 249169.0)	(32.0, 330272.0)	(33.0, 452235.0)	(34.0, 712128.0)	(35.0, 1763105.0)	(36.0, 17836409.0)	(37.0, 1730574.0)	
GW_M1_R2	(20.0, 1.0)	(21.0, 1.0)	(22.0, 72.0)	(23.0, 1648.0)	(24.0, 18379.0)	(25.0, 46073.0)	(26.0, 58970.0)	(27.0, 72287.0)	(28.0, 90713.0)	(29.0, 116735.0)	(30.0, 153450.0)	(31.0, 207900.0)	(32.0, 299642.0)	(33.0, 480663.0)	(34.0, 969506.0)	(35.0, 3066639.0)	(36.0, 16062499.0)	(37.0, 1976120.0)
GW_M2_R1	(21.0, 1.0)	(22.0, 8.0)	(23.0, 240.0)	(24.0, 5710.0)	(25.0, 24675.0)	(26.0, 44663.0)	(27.0, 74367.0)	(28.0, 114519.0)	(29.0, 164014.0)	(30.0, 222089.0)	(31.0, 291346.0)	(32.0, 381331.0)	(33.0, 514191.0)	(34.0, 790882.0)	(35.0, 1907150.0)	(36.0, 20369083.0)	(37.0, 2072787.0)	
GW_M2_R2	(21.0, 1.0)	(22.0, 68.0)	(23.0, 1671.0)	(24.0, 19113.0)	(25.0, 50681.0)	(26.0, 65827.0)	(27.0, 82968.0)	(28.0, 103680.0)	(29.0, 134821.0)	(30.0, 176393.0)	(31.0, 239283.0)	(32.0, 343233.0)	(33.0, 547624.0)	(34.0, 1100230.0)	(35.0, 3504087.0)	(36.0, 18313350.0)	(37.0, 2294026.0)	
GW_M3_R1	(21.0, 1.0)	(22.0, 8.0)	(23.0, 252.0)	(24.0, 5542.0)	(25.0, 23526.0)	(26.0, 43443.0)	(27.0, 71481.0)	(28.0, 110741.0)	(29.0, 159307.0)	(30.0, 216860.0)	(31.0, 285880.0)	(32.0, 373306.0)	(33.0, 507868.0)	(34.0, 785149.0)	(35.0, 1886829.0)	(36.0, 20341286.0)	(37.0, 2100876.0)	
GW_M3_R2	(21.0, 2.0)	(22.0, 77.0)	(23.0, 1873.0)	(24.0, 21691.0)	(25.0, 52763.0)	(26.0, 67136.0)	(27.0, 82282.0)	(28.0, 102695.0)	(29.0, 131205.0)	(30.0, 169980.0)	(31.0, 231139.0)	(32.0, 328923.0)	(33.0, 520020.0)	(34.0, 1031714.0)	(35.0, 3268315.0)	(36.0, 18428737.0)	(37.0, 2473803.0)	
GW_P1_R1	(22.0, 8.0)	(23.0, 249.0)	(24.0, 5586.0)	(25.0, 24030.0)	(26.0, 43764.0)	(27.0, 72036.0)	(28.0, 111014.0)	(29.0, 161264.0)	(30.0, 219944.0)	(31.0, 289526.0)	(32.0, 382163.0)	(33.0, 521581.0)	(34.0, 811281.0)	(35.0, 1991238.0)	(36.0, 20807828.0)	(37.0, 2039397.0)		
GW_P1_R2	(21.0, 6.0)	(22.0, 76.0)	(23.0, 1787.0)	(24.0, 20748.0)	(25.0, 53666.0)	(26.0, 68993.0)	(27.0, 85100.0)	(28.0, 106495.0)	(29.0, 137370.0)	(30.0, 178770.0)	(31.0, 241854.0)	(32.0, 346213.0)	(33.0, 551669.0)	(34.0, 1107551.0)	(35.0, 3532896.0)	(36.0, 18760246.0)	(37.0, 2287469.0)	
GW_P2_R1	(21.0, 1.0)	(22.0, 8.0)	(23.0, 200.0)	(24.0, 5251.0)	(25.0, 21950.0)	(26.0, 39912.0)	(27.0, 66687.0)	(28.0, 101472.0)	(29.0, 145224.0)	(30.0, 197226.0)	(31.0, 260093.0)	(32.0, 342187.0)	(33.0, 465015.0)	(34.0, 719114.0)	(35.0, 1734674.0)	(36.0, 18597230.0)	(37.0, 1919755.0)	
GW_P2_R2	(21.0, 3.0)	(22.0, 60.0)	(23.0, 1592.0)	(24.0, 19020.0)	(25.0, 51224.0)	(26.0, 66598.0)	(27.0, 83067.0)	(28.0, 103467.0)	(29.0, 133749.0)	(30.0, 174202.0)	(31.0, 234559.0)	(32.0, 337413.0)	(33.0, 540096.0)	(34.0, 1098816.0)	(35.0, 3458595.0)	(36.0, 16472166.0)	(37.0, 1841372.0)	
