Sample	Assigned	Unassigned: Unmapped	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
results/alignment/PRJNA830488/GW_M1/Aligned.sortedByCoord.out.bam	16799980.0	1764955.0	0.0	4262518.0	1298222.0	2164360.0
results/alignment/PRJNA830488/GW_M2/Aligned.sortedByCoord.out.bam	19085061.0	1983871.0	0.0	5100992.0	1520609.0	2550096.0
results/alignment/PRJNA830488/GW_M3/Aligned.sortedByCoord.out.bam	19093583.0	1916013.0	0.0	5535027.0	1522597.0	2467650.0
results/alignment/PRJNA830488/GW_P1/Aligned.sortedByCoord.out.bam	19399991.0	2132661.0	2.0	5151358.0	1528214.0	2539287.0
results/alignment/PRJNA830488/GW_P2/Aligned.sortedByCoord.out.bam	17201054.0	1899123.0	0.0	5623809.0	1485109.0	2222169.0
results/alignment/PRJNA830488/GW_P3/Aligned.sortedByCoord.out.bam	16669398.0	1656290.0	4.0	3943645.0	1301695.0	2167376.0
results/alignment/PRJNA830488/YR_M1/Aligned.sortedByCoord.out.bam	16206496.0	1704829.0	0.0	4181871.0	1310835.0	2050129.0
results/alignment/PRJNA830488/YR_M2/Aligned.sortedByCoord.out.bam	16702575.0	1699396.0	2.0	4032739.0	1342785.0	2135158.0
results/alignment/PRJNA830488/YR_M3/Aligned.sortedByCoord.out.bam	16753450.0	1721490.0	0.0	3996344.0	1296216.0	2157906.0
results/alignment/PRJNA830488/YR_P1/Aligned.sortedByCoord.out.bam	15619858.0	1938657.0	0.0	4599199.0	1359708.0	2006959.0
results/alignment/PRJNA830488/YR_P2/Aligned.sortedByCoord.out.bam	16238795.0	1802650.0	0.0	4239537.0	1352132.0	2112595.0
results/alignment/PRJNA830488/YR_P3/Aligned.sortedByCoord.out.bam	14993724.0	1756832.0	0.0	3968152.0	1142395.0	1951594.0
