Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
RNA-Seq_FZX_Fr_C1_R1	0.2821867103923543	2.0691554886385566
RNA-Seq_FZX_Fr_C1_R2	0.36720113078568534	0.7136784875878277
RNA-Seq_FZX_Fr_C2_R1	0.2654701452239512	1.752381968831636
RNA-Seq_FZX_Fr_C2_R2	0.31836722578387666	0.6377496741147348
RNA-Seq_FZX_Fr_C3_R1	0.28121478673630695	1.6154895060631245
RNA-Seq_FZX_Fr_C3_R2	0.33927707509038757	0.5781921285948668
RNA-Seq_FZX_Fr_M1_R1	0.2948671337031093	3.023271180278454
RNA-Seq_FZX_Fr_M1_R2	0.44794571791227167	1.1486500753141697
RNA-Seq_FZX_Fr_M2_R1	0.20534740434364485	2.1339466407816725
RNA-Seq_FZX_Fr_M2_R2	0.32869187669613653	0.6076053681038701
RNA-Seq_FZX_Fr_M3_R1	0.2138888277180945	2.3535514585529915
RNA-Seq_FZX_Fr_M3_R2	0.35037573388660087	0.658252057928445
RNA-Seq_FZX_Le_C1_R1	1.0850527249590942	8.333941677379325
RNA-Seq_FZX_Le_C1_R2	0.17741095661829967	1.4859597071966273
RNA-Seq_FZX_Le_C2_R1	1.2135503791999083	8.483243533322328
RNA-Seq_FZX_Le_C2_R2	0.22299799030868003	1.4662393395732667
RNA-Seq_FZX_Le_C3_R1	0.9603617354237032	7.666216613818138
RNA-Seq_FZX_Le_C3_R2	0.2075606803620508	1.3652458981697846
RNA-Seq_FZX_Le_M1_R1	0.7650435872550462	6.5416309978143845
RNA-Seq_FZX_Le_M1_R2	0.2579652427910523	1.9723456096371594
RNA-Seq_FZX_Le_M2_R1	0.7754069476961206	7.053337758644277
RNA-Seq_FZX_Le_M2_R2	0.2500228336252597	1.8679558518448902
RNA-Seq_FZX_Le_M3_R1	0.81659039222874	6.352078899823499
RNA-Seq_FZX_Le_M3_R2	0.2522979990921578	1.6571815409412074
