Sample	featurecounts-Assigned	featurecounts-percent_assigned	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
RNA-Seq_FZX_Fr_C1			57.765157871295784	21.532557	ISR	100.0	0.0	37.276029	31.035397	83.25	27.052650999999997	72.57	3.9827459999999997	54.895799999999994	95.21549999999999	10598.303651999999	74.552058	46.6916	98.93553872675986	98.96196964588752	0.0005281724672610704	149.0	149.0						
RNA-Seq_FZX_Fr_C1_R1																								86.3072200621596	46.0	149.79422428553212	150	30.0	37.276029
RNA-Seq_FZX_Fr_C1_R2																								80.63099397657793	46.0	149.79422428553212	150	10.0	37.276029
RNA-Seq_FZX_Fr_C2			58.24318622133394	24.841154	ISR	100.0	0.0	42.650746999999996	35.481823	83.19000000000001	31.045147999999998	72.79	4.436675	56.228	95.1228	12117.251956999999	85.30149399999999	46.705000000000005	98.84570631621807	98.87502119586662	0.000465829753686608	149.0	149.0						
RNA-Seq_FZX_Fr_C2_R1																								87.25824883192146	46.0	149.82721071684864	150	30.0	42.650746999999996
RNA-Seq_FZX_Fr_C2_R2																								81.73611268500609	46.0	149.82721071684864	150	10.0	42.650746999999996
RNA-Seq_FZX_Fr_C3			58.31338591464281	20.295392	ISR	100.0	0.0	34.804002	28.975106	83.25	25.430401	73.07	3.544705	51.52870000000001	95.02420000000001	9879.144793	69.608004	46.4034	98.94604163119493	98.97016740515946	0.0005060451212005073	149.0	149.0						
RNA-Seq_FZX_Fr_C3_R1																								84.95438264424352	46.0	149.8495365561696	150	30.0	34.804002
RNA-Seq_FZX_Fr_C3_R2																								78.06045327497112	46.0	149.8495365561696	150	10.0	34.804002
RNA-Seq_FZX_Fr_M1			56.90975336093225	21.669998	ISR	100.0	0.0	38.077828	31.299263	82.19999999999999	27.262781	71.6	4.0364819999999995	47.5694	93.08959999999999	10562.464895	76.155656	46.5046	99.17606245031146	99.1970141010294	0.0004870530871195764	148.0	148.0						
RNA-Seq_FZX_Fr_M1_R1																								85.24270346933214	46.0	149.4764667774643	150	30.0	38.077828
RNA-Seq_FZX_Fr_M1_R2																								79.30099706099115	46.0	149.4764667774643	150	10.0	38.077828
RNA-Seq_FZX_Fr_M2			56.2383254158103	22.490410999999998	ISR	100.0	0.0	39.991253	32.596835	81.50999999999999	28.635195	71.6	3.9616399999999996	45.5272	92.7872	11055.445807	79.982506	46.037	99.08996192155756	99.11246687515312	0.00042122444942309725	148.0	148.0						
RNA-Seq_FZX_Fr_M2_R1																								84.68779567113607	45.0	149.45298271849597	150	30.0	39.991253
RNA-Seq_FZX_Fr_M2_R2																								78.57976247432663	46.0	149.45298271849597	150	10.0	39.991253
RNA-Seq_FZX_Fr_M3			56.316045163392225	21.890681999999998	ISR	100.0	0.0	38.871128	31.732191	81.63000000000001	27.796491	71.51	3.9356999999999998	44.5477	92.72	10741.600206	77.742256	46.2462	99.04771961283377	99.07051532757615	0.00034654229399634076	148.0	148.0						
RNA-Seq_FZX_Fr_M3_R1																								84.21177010882656	45.0	149.50404941940454	150	30.0	38.871128
RNA-Seq_FZX_Fr_M3_R2																								78.175584559653	46.0	149.50404941940454	150	10.0	38.871128
RNA-Seq_FZX_Le_C1			49.01495960232274	17.316076	ISR	100.0	0.0	35.328145	27.864296999999997	78.87	24.28736	68.75	3.576937	65.3249	95.3648	10077.312401	70.65629	44.728699999999996	99.17828177476291	99.2019550094904	0.0004463678124675752	149.0	149.0						
RNA-Seq_FZX_Le_C1_R1																								90.27901922444246	44.0	150.05414974378078	150	40.0	35.328145
RNA-Seq_FZX_Le_C1_R2																								85.9858513364188	45.0	150.05414974378078	150	10.0	35.328145
RNA-Seq_FZX_Le_C2			49.1491956206244	21.405438999999998	ISR	100.0	0.0	43.551961999999996	33.951924	77.96	29.431532999999998	67.58	4.520391	63.727599999999995	95.5064	12437.426196	87.10392399999999	44.2661	99.3007829770511	99.32075794527341	0.0003670885380388885	149.0	149.0						
RNA-Seq_FZX_Le_C2_R1																								89.72243413403167	43.0	150.00302114977046	150	40.0	43.551961999999996
RNA-Seq_FZX_Le_C2_R2																								85.6182731202349	44.0	150.00302114977046	150	10.0	43.551961999999996
RNA-Seq_FZX_Le_C3			49.073397415547134	18.920479999999998	ISR	100.0	0.0	38.555472	29.679904999999998	76.98	26.111373	67.72	3.568532	50.1664	93.3337	10741.317373	77.110944	44.0884	99.30439609551897	99.32575144099548	0.0003528604776278215	149.0	149.0						
RNA-Seq_FZX_Le_C3_R1																								85.70373472204756	43.0	149.7375370997922	150	30.0	38.555472
RNA-Seq_FZX_Le_C3_R2																								81.2385615536341	44.0	149.7375370997922	150	10.0	38.555472
