gene_id	sample_id	cultivar	treatment	union_exon_bases	covered_exonic_bases	exonic_coverage_breadth	mean_exonic_depth	overlapping_primary_alignments	unique_alignments	multi_alignments	multi_alignment_fraction	nm_events	aligned_bases	alignment_mismatch_rate
LITCHI000271	GW_P1	Guiwei	infected	9167	7371	0.8040798516417584	16.934111486855024	1070	1054	16	0.014953271028037384	0	157634	0.0
LITCHI001129	GW_P1	Guiwei	infected	4899	3718	0.7589303939579506	28.722800571545214	957	946	11	0.011494252873563218	0	141444	0.0
LITCHI001375	GW_P1	Guiwei	infected	1462	1190	0.813953488372093	4.72093023255814	50	50	0	0.0	0	7228	0.0
LITCHI001603	GW_P1	Guiwei	infected	4354	3454	0.7932935231970601	13.47060174552136	401	400	1	0.0024937655860349127	0	59341	0.0
LITCHI001700	GW_P1	Guiwei	infected	1251	1093	0.873701039168665	116.97841726618705	1118	1078	40	0.03577817531305903	0	166967	0.0
LITCHI001879	GW_P1	Guiwei	infected	3265	3097	0.9485451761102603	56.92404287901991	1276	1266	10	0.007836990595611285	0	189091	0.0
LITCHI001963	GW_P1	Guiwei	infected	1735	1171	0.6749279538904899	23.032276657060518	280	264	16	0.05714285714285714	0	40553	0.0
LITCHI001999	GW_P1	Guiwei	infected	2280	1094	0.47982456140350876	86.24473684210527	1331	1327	4	0.003005259203606311	0	197431	0.0
LITCHI002015	GW_P1	Guiwei	infected	3840	3190	0.8307291666666666	6.5984375	172	166	6	0.03488372093023256	0	25436	0.0
LITCHI002040	GW_P1	Guiwei	infected	2779	1329	0.4782295789852465	4025.5019791291834	75887	75448	439	0.005784917047715683	0	11218220	0.0
LITCHI002263	GW_P1	Guiwei	infected	594	568	0.9562289562289562	138.18350168350167	558	550	8	0.014336917562724014	0	82170	0.0
LITCHI002571	GW_P1	Guiwei	infected	1298	927	0.714175654853621	15.7788906009245	144	144	0	0.0	0	21027	0.0
LITCHI003414	GW_P1	Guiwei	infected	2392	2202	0.9205685618729097	135.35702341137124	2187	2181	6	0.0027434842249657062	0	325335	0.0
LITCHI003497	GW_P1	Guiwei	infected	4799	3761	0.7837049385288601	13.856220045842884	458	444	14	0.03056768558951965	0	67783	0.0
LITCHI003742	GW_P1	Guiwei	infected	3145	2393	0.7608903020667727	183.3503974562798	4103	4054	49	0.011942481111381915	0	593696	0.0
LITCHI004207	GW_P1	Guiwei	infected	1939	1492	0.7694687983496648	10.40587931923672	135	135	0	0.0	0	20178	0.0
LITCHI004438	GW_P1	Guiwei	infected	2296	1956	0.8519163763066202	95.04616724738676	1477	1469	8	0.005416384563303994	0	218650	0.0
LITCHI004751	GW_P1	Guiwei	infected	2643	1445	0.5467272039349225	37.70412410139993	675	675	0	0.0	0	100415	0.0
LITCHI004929	GW_P1	Guiwei	infected	4026	2874	0.713859910581222	362.327868852459	10018	9728	290	0.028947893791175884	0	1465119	0.0
LITCHI005008	GW_P1	Guiwei	infected	2428	1160	0.47775947281713343	3894.5119439868204	63548	63401	147	0.002313212060174986	0	9472240	0.0
LITCHI005012	GW_P1	Guiwei	infected	4017	3260	0.8115509086382873	156.7460791635549	4244	4222	22	0.0051837888784165885	0	630620	0.0
LITCHI005048	GW_P1	Guiwei	infected	4711	4489	0.952876247081299	53.47845468053492	1701	1697	4	0.0023515579071134627	0	253266	0.0
LITCHI005234	GW_P1	Guiwei	infected	1852	1628	0.8790496760259179	44.23488120950324	564	560	4	0.0070921985815602835	0	82666	0.0
LITCHI005254	GW_P1	Guiwei	infected	2523	1228	0.48672215616329767	1.6397146254458976	28	28	0	0.0	0	4140	0.0
LITCHI005454	GW_P1	Guiwei	infected	367	367	1.0	720.0136239782016	2128	2126	2	0.0009398496240601503	0	316591	0.0
LITCHI005518	GW_P1	Guiwei	infected	4337	3271	0.7542079778648836	226.25363154254092	6598	6590	8	0.0012124886329190664	0	982123	0.0
LITCHI005805	GW_P1	Guiwei	infected	2410	2000	0.8298755186721992	24.275103734439835	428	428	0	0.0	0	63347	0.0
LITCHI005866	GW_P1	Guiwei	infected	5857	3556	0.6071367594331569	39.32900802458597	1558	1548	10	0.006418485237483954	0	230586	0.0
LITCHI006337	GW_P1	Guiwei	infected	294	294	1.0	211.3877551020408	907	809	98	0.10804851157662625	0	134062	0.0
LITCHI006466	GW_P1	Guiwei	infected	2747	2060	0.7499089916272297	29.147069530396795	555	528	27	0.04864864864864865	0	80789	0.0
LITCHI006481	GW_P1	Guiwei	infected	600	600	1.0	164.53833333333333	692	692	0	0.0	0	102541	0.0
LITCHI006703	GW_P1	Guiwei	infected	2519	1721	0.6832076220722509	54.145692735212386	946	920	26	0.02748414376321353	0	137146	0.0
LITCHI006920	GW_P1	Guiwei	infected	1238	819	0.6615508885298869	532.8182552504039	4746	4708	38	0.008006742520016857	0	707972	0.0
LITCHI006923	GW_P1	Guiwei	infected	3618	2693	0.7443338861249309	65.13515754560531	1594	1594	0	0.0	0	235756	0.0
LITCHI007095	GW_P1	Guiwei	infected	1547	1284	0.8299935358758889	74.31027795733678	819	805	14	0.017094017094017096	0	117149	0.0
LITCHI007293	GW_P1	Guiwei	infected	870	705	0.8103448275862069	543.3770114942529	3778	3727	51	0.013499205929062997	0	558351	0.0
LITCHI007341	GW_P1	Guiwei	infected	291	291	1.0	235.26460481099656	900	898	2	0.0022222222222222222	0	134026	0.0
LITCHI007955	GW_P1	Guiwei	infected	1004	986	0.9820717131474104	478.3256972111554	3232	3232	0	0.0	0	480965	0.0
LITCHI008095	GW_P1	Guiwei	infected	3777	2723	0.7209425469949695	104.55096637543024	2689	2423	266	0.09892153216809223	0	396297	0.0
LITCHI008313	GW_P1	Guiwei	infected	2474	2037	0.8233629749393695	53.478577202910266	906	906	0	0.0	0	134116	0.0
LITCHI008330	GW_P1	Guiwei	infected	429	429	1.0	30.89044289044289	99	91	8	0.08080808080808081	0	14204	0.0
LITCHI008721	GW_P1	Guiwei	infected	2552	898	0.3518808777429467	137.47452978056427	2637	2634	3	0.0011376564277588168	0	390480	0.0
LITCHI008817	GW_P1	Guiwei	infected	2813	2525	0.897618201208674	125.77319587628865	2380	2360	20	0.008403361344537815	0	353852	0.0
LITCHI008905	GW_P1	Guiwei	infected	3879	3331	0.8587264758958495	409.9943284351637	10932	10897	35	0.0032016099524332237	0	1625816	0.0
LITCHI009437	GW_P1	Guiwei	infected	1431	1076	0.7519217330538085	284.3186582809224	2792	2034	758	0.2714899713467049	0	409303	0.0
LITCHI009639	GW_P1	Guiwei	infected	1861	1800	0.9672219236969372	33.18807092960774	442	437	5	0.011312217194570135	0	63177	0.0
LITCHI009696	GW_P1	Guiwei	infected	4017	3463	0.8620861339307941	45.00597460791636	1220	1216	4	0.003278688524590164	0	181359	0.0
LITCHI010138	GW_P1	Guiwei	infected	2588	2444	0.9443585780525502	404.7623647604328	7186	6776	410	0.057055385471750625	0	1058599	0.0
LITCHI010273	GW_P1	Guiwei	infected	1982	1478	0.7457114026236125	1069.9112008072655	14439	14235	204	0.01412840224392271	0	2131217	0.0
LITCHI010325	GW_P1	Guiwei	infected	1310	668	0.5099236641221374	70.69770992366412	693	688	5	0.007215007215007215	0	102522	0.0
LITCHI010434	GW_P1	Guiwei	infected	3326	2509	0.754359591100421	44.43836440168371	1025	1023	2	0.001951219512195122	0	152501	0.0
LITCHI010541	GW_P1	Guiwei	infected	1482	1242	0.8380566801619433	72.82793522267207	724	724	0	0.0	0	107940	0.0
LITCHI010704	GW_P1	Guiwei	infected	999	890	0.8908908908908909	69.34534534534535	597	418	179	0.2998324958123953	0	88968	0.0
LITCHI010765	GW_P1	Guiwei	infected	1766	1318	0.7463193657984145	7.406002265005663	88	88	0	0.0	0	13119	0.0
LITCHI010845	GW_P1	Guiwei	infected	2741	2312	0.8434877781831448	800.404232032105	17014	14197	2817	0.1655695309744916	0	2523005	0.0
LITCHI010877	GW_P1	Guiwei	infected	2475	1579	0.637979797979798	62.148686868686866	1048	1042	6	0.0057251908396946565	0	155777	0.0
LITCHI010987	GW_P1	Guiwei	infected	1445	950	0.657439446366782	25.612456747404845	278	278	0	0.0	0	41096	0.0
LITCHI011122	GW_P1	Guiwei	infected	3619	2847	0.7866814037026802	14.70765404807958	367	367	0	0.0	0	54940	0.0
LITCHI011195	GW_P1	Guiwei	infected	767	653	0.8513689700130378	3.8996088657105608	35	35	0	0.0	0	5204	0.0
LITCHI011255	GW_P1	Guiwei	infected	5221	4948	0.9477111664432101	43.86630913618081	1570	1550	20	0.012738853503184714	0	232495	0.0
LITCHI011424	GW_P1	Guiwei	infected	1735	932	0.5371757925072046	17.08587896253602	210	197	13	0.06190476190476191	0	31391	0.0
LITCHI011520	GW_P1	Guiwei	infected	6186	5347	0.8643711606854186	630.2583252505658	26266	25756	510	0.019416736465392524	0	3905297	0.0
LITCHI011536	GW_P1	Guiwei	infected	4299	3275	0.7618050709467318	48.98906722493603	1439	1413	26	0.018068102849200834	0	211792	0.0
LITCHI011959	GW_P1	Guiwei	infected	930	926	0.9956989247311828	250.42903225806452	1911	1842	69	0.03610675039246468	0	284811	0.0
LITCHI012432	GW_P1	Guiwei	infected	1787	1787	1.0	460.39507554560714	5971	5483	488	0.08172835370959639	0	862849	0.0
LITCHI012815	GW_P1	Guiwei	infected	690	528	0.7652173913043478	40.82898550724638	283	260	23	0.0812720848056537	0	38003	0.0
LITCHI013088	GW_P1	Guiwei	infected	1531	1471	0.960809928151535	44.31809274983671	699	630	69	0.09871244635193133	0	97308	0.0
LITCHI013276	GW_P1	Guiwei	infected	1196	698	0.5836120401337793	45.841973244147155	372	366	6	0.016129032258064516	0	54832	0.0
LITCHI013379	GW_P1	Guiwei	infected	252	252	1.0	200.38888888888889	580	569	11	0.01896551724137931	0	86311	0.0
LITCHI013895	GW_P1	Guiwei	infected	768	768	1.0	289.4153645833333	1682	1649	33	0.019619500594530322	0	250573	0.0
LITCHI013915	GW_P1	Guiwei	infected	3837	3534	0.9210320562939797	45.19207714360177	1226	1226	0	0.0	0	183062	0.0
LITCHI013925	GW_P1	Guiwei	infected	2388	2372	0.9932998324958124	68.23827470686767	1105	1103	2	0.0018099547511312218	0	164241	0.0
LITCHI014256	GW_P1	Guiwei	infected	2797	2144	0.7665355738291026	67.60100107257776	1284	1276	8	0.006230529595015576	0	190471	0.0
LITCHI014400	GW_P1	Guiwei	infected	294	294	1.0	1219.9761904761904	4315	4298	17	0.0039397450753186555	0	642197	0.0
LITCHI014480	GW_P1	Guiwei	infected	4665	4393	0.9416934619506967	50.443944265809215	1611	1586	25	0.015518311607697082	0	239446	0.0
LITCHI014613	GW_P1	Guiwei	infected	2393	1757	0.7342248223986627	4.106142916840786	72	72	0	0.0	0	10697	0.0
LITCHI014624	GW_P1	Guiwei	infected	3503	2259	0.6448758207250928	547.0679417642021	12984	12882	102	0.007855822550831794	0	1918478	0.0
LITCHI014759	GW_P1	Guiwei	infected	5413	2984	0.5512654720118234	18.313135045261408	669	669	0	0.0	0	99606	0.0
LITCHI014813	GW_P1	Guiwei	infected	2107	2025	0.9610821072615092	21.07641196013289	310	310	0	0.0	0	45781	0.0
LITCHI014858	GW_P1	Guiwei	infected	2513	2368	0.942300039793076	47.78949462793474	810	603	207	0.25555555555555554	0	120772	0.0
LITCHI014914	GW_P1	Guiwei	infected	2253	732	0.3249001331557923	1.3315579227696406	20	20	0	0.0	0	3000	0.0
LITCHI015464	GW_P1	Guiwei	infected	1989	1879	0.9446958270487682	29.425339366515836	409	407	2	0.004889975550122249	0	60718	0.0
LITCHI015702	GW_P1	Guiwei	infected	1431	1347	0.9412997903563941	66.70090845562544	653	653	0	0.0	0	97074	0.0
LITCHI015740	GW_P1	Guiwei	infected	1261	832	0.6597938144329897	101.85329103885805	864	864	0	0.0	0	128513	0.0
LITCHI015950	GW_P1	Guiwei	infected	4111	3803	0.9250790561907078	40.25735830698127	1112	1108	4	0.0035971223021582736	0	165617	0.0
LITCHI015982	GW_P1	Guiwei	infected	5419	3277	0.6047241188411145	3.89702897213508	144	144	0	0.0	0	21268	0.0
LITCHI016077	GW_P1	Guiwei	infected	2713	1791	0.66015481017324	12.428308145963877	231	231	0	0.0	0	34518	0.0
LITCHI016297	GW_P1	Guiwei	infected	1487	1430	0.9616677874915938	58.283120376597175	630	628	2	0.0031746031746031746	0	91366	0.0
LITCHI016340	GW_P1	Guiwei	infected	1497	1416	0.9458917835671342	2480.734802939212	25168	23574	1594	0.06333439287984742	0	3719437	0.0
LITCHI016395	GW_P1	Guiwei	infected	3072	2470	0.8040364583333334	12.400065104166666	281	271	10	0.03558718861209965	0	41098	0.0
LITCHI016580	GW_P1	Guiwei	infected	696	657	0.9439655172413793	135.83764367816093	647	647	0	0.0	0	96071	0.0
LITCHI016665	GW_P1	Guiwei	infected	2981	2015	0.6759476685675948	23.081180811808117	472	357	115	0.24364406779661016	0	70072	0.0
LITCHI016846	GW_P1	Guiwei	infected	1775	1379	0.7769014084507042	4.653521126760563	60	60	0	0.0	0	8535	0.0
LITCHI016911	GW_P1	Guiwei	infected	3096	2980	0.962532299741602	374.2577519379845	8052	7944	108	0.013412816691505217	0	1187820	0.0
LITCHI016917	GW_P1	Guiwei	infected	1626	1355	0.8333333333333334	10.260762607626075	124	107	17	0.13709677419354838	0	18220	0.0
LITCHI016983	GW_P1	Guiwei	infected	2817	2638	0.9364572239971601	298.41782037628684	5806	5760	46	0.00792283844299001	0	859782	0.0
LITCHI016994	GW_P1	Guiwei	infected	4056	3127	0.770956607495069	310.6311637080868	8513	8415	98	0.01151180547398097	0	1263632	0.0
LITCHI017301	GW_P1	Guiwei	infected	3641	2833	0.7780829442460863	15.371601208459214	381	381	0	0.0	0	56668	0.0
LITCHI017310	GW_P1	Guiwei	infected	3101	1204	0.38826185101580135	100.97678168332796	2122	2116	6	0.002827521206409048	0	313762	0.0
LITCHI017559	GW_P1	Guiwei	infected	820	576	0.7024390243902439	2.018292682926829	18	16	2	0.1111111111111111	0	2587	0.0
LITCHI017561	GW_P1	Guiwei	infected	555	555	1.0	5.313513513513514	30	30	0	0.0	0	4454	0.0
LITCHI017634	GW_P1	Guiwei	infected	1987	1915	0.9637644690488173	77.03422244589834	1050	1050	0	0.0	0	154107	0.0
LITCHI017733	GW_P1	Guiwei	infected	2532	2161	0.8534755134281201	19.57740916271722	332	332	0	0.0	0	49573	0.0
LITCHI017753	GW_P1	Guiwei	infected	1184	1014	0.856418918918919	337.2964527027027	2690	2678	12	0.0044609665427509295	0	399567	0.0
LITCHI017862	GW_P1	Guiwei	infected	2965	1919	0.6472175379426645	4.7865092748735245	96	96	0	0.0	0	14279	0.0
LITCHI017954	GW_P1	Guiwei	infected	2669	2137	0.8006744098913451	57.56725365305358	1041	1009	32	0.03073967339097022	0	154310	0.0
LITCHI018073	GW_P1	Guiwei	infected	776	615	0.7925257731958762	19.70618556701031	102	102	0	0.0	0	15292	0.0
LITCHI018309	GW_P1	Guiwei	infected	1920	907	0.47239583333333335	39.369791666666664	512	512	0	0.0	0	76041	0.0
LITCHI018384	GW_P1	Guiwei	infected	4289	2299	0.5360223828398228	108.28444858941478	3124	3122	2	0.0006402048655569782	0	464828	0.0
LITCHI018512	GW_P1	Guiwei	infected	3013	2285	0.7583803518088285	6.433123133089944	130	130	0	0.0	0	19387	0.0
LITCHI018722	GW_P1	Guiwei	infected	1992	1577	0.7916666666666666	35.19427710843374	474	474	0	0.0	0	70512	0.0
LITCHI019041	GW_P1	Guiwei	infected	4315	3616	0.8380069524913094	34.22433371958285	996	978	18	0.018072289156626505	0	148552	0.0
LITCHI019076	GW_P1	Guiwei	infected	1043	580	0.5560882070949185	3.0182166826462127	21	21	0	0.0	0	3148	0.0
LITCHI019095	GW_P1	Guiwei	infected	1291	1234	0.9558481797056545	80.0867544539117	720	718	2	0.002777777777777778	0	106378	0.0
LITCHI019186	GW_P1	Guiwei	infected	3764	3185	0.8461742826780021	7.626992561105207	194	190	4	0.020618556701030927	0	28844	0.0
LITCHI019319	GW_P1	Guiwei	infected	5978	4988	0.8343927735028438	22.019069923051187	897	892	5	0.005574136008918618	0	133601	0.0
LITCHI019420	GW_P1	Guiwei	infected	2373	2373	1.0	10.71976401179941	195	195	0	0.0	0	29049	0.0
LITCHI019626	GW_P1	Guiwei	infected	4585	3662	0.798691384950927	41.22791712104689	1313	1275	38	0.028941355674028942	0	194806	0.0
LITCHI019664	GW_P1	Guiwei	infected	2391	2391	1.0	147.35633626097868	2542	2525	17	0.006687647521636507	0	377923	0.0
LITCHI019822	GW_P1	Guiwei	infected	1180	876	0.7423728813559322	170.81610169491526	1449	1449	0	0.0	0	215432	0.0
LITCHI019823	GW_P1	Guiwei	infected	1724	1453	0.8428074245939675	208.08468677494199	2416	2392	24	0.009933774834437087	0	359689	0.0
LITCHI019824	GW_P1	Guiwei	infected	3001	1948	0.6491169610129957	32.89603465511496	680	660	20	0.029411764705882353	0	99085	0.0
LITCHI019857	GW_P1	Guiwei	infected	3099	2121	0.6844143272023233	23.898676992578253	498	492	6	0.012048192771084338	0	74278	0.0
LITCHI019897	GW_P1	Guiwei	infected	6042	4811	0.7962595167163191	28.432803707381662	1188	1181	7	0.005892255892255892	0	176422	0.0
LITCHI019913	GW_P1	Guiwei	infected	16583	9984	0.6020623530121209	12.44177772417536	1432	1414	18	0.012569832402234637	0	212921	0.0
LITCHI020058	GW_P1	Guiwei	infected	4703	4242	0.9019774611949819	102.92770571975335	3444	3342	102	0.029616724738675958	0	485966	0.0
LITCHI020557	GW_P1	Guiwei	infected	947	587	0.6198521647307286	36.1921858500528	250	250	0	0.0	0	37003	0.0
LITCHI020645	GW_P1	Guiwei	infected	2590	1940	0.749034749034749	105.96100386100386	1861	1631	230	0.12358946802794196	0	276196	0.0
LITCHI020862	GW_P1	Guiwei	infected	4830	4647	0.962111801242236	40.82028985507247	1381	1377	4	0.002896451846488052	0	202961	0.0
LITCHI021120	GW_P1	Guiwei	infected	2449	2183	0.8913842384646795	77.78031849734586	1284	1276	8	0.006230529595015576	0	191315	0.0
LITCHI021264	GW_P1	Guiwei	infected	1573	1108	0.7043865225683408	117.64462809917356	1272	1258	14	0.0110062893081761	0	189210	0.0
LITCHI021309	GW_P1	Guiwei	infected	3010	2134	0.7089700996677741	45.34817275747508	976	934	42	0.0430327868852459	0	137993	0.0
LITCHI021546	GW_P1	Guiwei	infected	5195	4650	0.8950914340712224	39.16304138594803	1368	1366	2	0.0014619883040935672	0	204186	0.0
LITCHI021650	GW_P1	Guiwei	infected	4056	2147	0.5293392504930966	19.544625246548325	536	536	0	0.0	0	79560	0.0
LITCHI021828	GW_P1	Guiwei	infected	2011	1026	0.5101939333664843	537.6882148184983	7269	7245	24	0.0033016921172100704	0	1083847	0.0
LITCHI021860	GW_P1	Guiwei	infected	2971	2710	0.9121507909794682	80.38673847189499	1610	1602	8	0.004968944099378882	0	239163	0.0
LITCHI021914	GW_P1	Guiwei	infected	1950	1666	0.8543589743589743	61.37538461538462	823	813	10	0.012150668286755772	0	122349	0.0
LITCHI022018	GW_P1	Guiwei	infected	2617	1712	0.6541841803591899	4.390523500191058	94	83	11	0.11702127659574468	0	13437	0.0
LITCHI022605	GW_P1	Guiwei	infected	5633	5108	0.9067992188886916	73.62435647079708	2791	2791	0	0.0	0	415921	0.0
