gene_id	matrix_id	window_bp	fimo_p_threshold	site_present
LITCHI000271	MA0021.1	1000	0.0001	False
LITCHI000271	MA0053.1	1000	0.0001	False
LITCHI000271	MA0064.1	1000	0.0001	False
LITCHI000271	MA0096.1	1000	0.0001	False
LITCHI000271	MA0097.1	1000	0.0001	False
LITCHI000271	MA0123.1	1000	0.0001	False
LITCHI000271	MA0128.1	1000	0.0001	False
LITCHI000271	MA0129.1	1000	0.0001	False
LITCHI000271	MA0561.1	1000	0.0001	False
LITCHI000271	MA0562.1	1000	0.0001	False
LITCHI000271	MA0567.1	1000	0.0001	False
LITCHI000271	MA0580.1	1000	0.0001	False
LITCHI000271	MA0590.1	1000	0.0001	False
LITCHI000271	MA0932.1	1000	0.0001	False
LITCHI000271	MA0933.1	1000	0.0001	True
LITCHI000271	MA0934.1	1000	0.0001	True
LITCHI000271	MA0935.1	1000	0.0001	False
LITCHI000271	MA0936.1	1000	0.0001	False
LITCHI000271	MA0937.1	1000	0.0001	False
LITCHI000271	MA0939.1	1000	0.0001	False
LITCHI000271	MA0946.1	1000	0.0001	False
LITCHI000271	MA0947.1	1000	0.0001	False
LITCHI000271	MA0950.1	1000	0.0001	False
LITCHI000271	MA0951.1	1000	0.0001	True
LITCHI000271	MA0952.1	1000	0.0001	True
LITCHI000271	MA0957.1	1000	0.0001	False
LITCHI000271	MA0958.1	1000	0.0001	False
LITCHI000271	MA0959.1	1000	0.0001	False
LITCHI000271	MA0960.1	1000	0.0001	False
LITCHI000271	MA0963.1	1000	0.0001	False
LITCHI000271	MA0967.1	1000	0.0001	False
LITCHI000271	MA0975.1	1000	0.0001	False
LITCHI000271	MA0977.1	1000	0.0001	True
LITCHI000271	MA0978.1	1000	0.0001	False
LITCHI000271	MA0986.1	1000	0.0001	False
LITCHI000271	MA1007.1	1000	0.0001	False
LITCHI000271	MA1009.1	1000	0.0001	False
LITCHI000271	MA1013.1	1000	0.0001	False
LITCHI000271	MA1014.1	1000	0.0001	False
LITCHI000271	MA1020.1	1000	0.0001	False
LITCHI000271	MA1023.1	1000	0.0001	False
LITCHI000271	MA1028.1	1000	0.0001	False
LITCHI000271	MA1033.1	1000	0.0001	False
LITCHI000271	MA1034.1	1000	0.0001	False
LITCHI000271	MA1035.1	1000	0.0001	False
LITCHI000271	MA1046.1	1000	0.0001	False
LITCHI000271	MA1050.1	1000	0.0001	False
LITCHI000271	MA1051.1	1000	0.0001	False
LITCHI000271	MA1053.1	1000	0.0001	False
LITCHI000271	MA1066.1	1000	0.0001	False
LITCHI000271	MA1067.1	1000	0.0001	False
LITCHI000271	MA1075.1	1000	0.0001	False
LITCHI000271	MA1080.1	1000	0.0001	False
LITCHI000271	MA1084.1	1000	0.0001	False
LITCHI000271	MA1091.1	1000	0.0001	False
LITCHI000271	MA1095.1	1000	0.0001	False
LITCHI000271	MA1096.1	1000	0.0001	False
LITCHI000271	MA1097.1	1000	0.0001	False
LITCHI000271	MA1098.1	1000	0.0001	False
LITCHI000271	MA1161.1	1000	0.0001	False
LITCHI000271	MA1162.1	1000	0.0001	True
LITCHI000271	MA1221.1	1000	0.0001	False
LITCHI000271	MA1222.1	1000	0.0001	False
LITCHI000271	MA1225.1	1000	0.0001	False
LITCHI000271	MA1235.1	1000	0.0001	False
LITCHI000271	MA1242.1	1000	0.0001	False
LITCHI000271	MA1274.1	1000	0.0001	True
LITCHI000271	MA1290.1	1000	0.0001	False
LITCHI000271	MA1291.1	1000	0.0001	False
LITCHI000271	MA1309.1	1000	0.0001	False
LITCHI000271	MA1324.1	1000	0.0001	False
LITCHI000271	MA1328.1	1000	0.0001	True
LITCHI000271	MA1335.1	1000	0.0001	False
LITCHI000271	MA1339.1	1000	0.0001	True
LITCHI000271	MA1348.1	1000	0.0001	False
LITCHI000271	MA1350.1	1000	0.0001	True
LITCHI000271	MA1363.1	1000	0.0001	False
LITCHI000271	MA1373.1	1000	0.0001	True
LITCHI000271	MA1379.1	1000	0.0001	False
LITCHI000271	MA1380.1	1000	0.0001	False
LITCHI000271	MA1384.1	1000	0.0001	False
LITCHI000271	MA1402.1	1000	0.0001	False
LITCHI000271	MA1403.1	1000	0.0001	False
LITCHI000271	MA1404.1	1000	0.0001	True
LITCHI000271	MA1416.1	1000	0.0001	False
LITCHI000271	MA2055.1	1000	0.0001	False
LITCHI000271	MA2056.1	1000	0.0001	False
LITCHI000271	MA2057.1	1000	0.0001	False
LITCHI000271	MA2058.1	1000	0.0001	False
LITCHI000271	MA2059.1	1000	0.0001	False
LITCHI000271	MA2060.1	1000	0.0001	False
LITCHI000271	MA2061.1	1000	0.0001	False
LITCHI000271	MA2062.1	1000	0.0001	False
LITCHI000271	MA2063.1	1000	0.0001	False
LITCHI000271	MA2064.1	1000	0.0001	False
LITCHI000271	MA2065.1	1000	0.0001	False
LITCHI000271	MA2066.1	1000	0.0001	False
LITCHI000271	MA2067.1	1000	0.0001	False
LITCHI000271	MA2068.1	1000	0.0001	False
LITCHI000271	MA2069.1	1000	0.0001	False
LITCHI000271	MA2070.1	1000	0.0001	False
LITCHI000271	MA2071.1	1000	0.0001	False
LITCHI000271	MA2072.1	1000	0.0001	False
LITCHI000271	MA2073.1	1000	0.0001	False
LITCHI000271	MA2074.1	1000	0.0001	False
LITCHI000271	MA2075.1	1000	0.0001	False
LITCHI000271	MA2076.1	1000	0.0001	False
LITCHI000271	MA2077.1	1000	0.0001	False
LITCHI000271	MA2078.1	1000	0.0001	False
LITCHI000271	MA2079.1	1000	0.0001	False
LITCHI000271	MA2080.1	1000	0.0001	False
LITCHI000271	MA2081.1	1000	0.0001	False
LITCHI000271	MA2082.1	1000	0.0001	False
LITCHI000271	MA2083.1	1000	0.0001	False
LITCHI000271	MA2084.1	1000	0.0001	False
LITCHI000271	MA2085.1	1000	0.0001	False
LITCHI000271	MA2086.1	1000	0.0001	False
LITCHI000271	MA2087.1	1000	0.0001	False
LITCHI000271	MA2088.1	1000	0.0001	False
LITCHI000271	MA2089.1	1000	0.0001	False
LITCHI000271	MA2090.1	1000	0.0001	False
LITCHI000271	MA2091.1	1000	0.0001	False
LITCHI000271	MA2092.1	1000	0.0001	False
LITCHI000271	MA1732.1	1000	0.0001	False
LITCHI000271	MA1686.1	1000	0.0001	False
