gene_id	guiwei_alignments	yurong1_alignments	guiwei_mismatch_rate	yurong1_mismatch_rate	absolute_cultivar_mismatch_rate_difference	cultivar_mismatch_rate_ratio	higher_mismatch_cultivar	guiwei_mean_coverage_breadth	yurong1_mean_coverage_breadth	breadth_loss_in_higher_mismatch_cultivar	guiwei_multi_alignment_fraction	yurong1_multi_alignment_fraction	observed_bias_evaluable	severe_composite_cultivar_bias	severe_bilateral_multimapping	observed_mapping_sensitivity_status
LITCHI000271	6421	5256	0.0	0.0	0.0	nan	Guiwei	0.7946256499763645	0.685756881567943	-0.10886876840842152	0.035819965737424075	0.030821917808219176	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001129	5954	3931	0.0	0.0	0.0	nan	Guiwei	0.763251003606178	0.7532829829216848	-0.009968020684493206	0.007893852872018811	0.009412363266344441	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001375	388	1946	0.0	0.0	0.0	nan	Guiwei	0.86171910624715	0.9410624715002281	0.07934336525307817	0.030927835051546393	0.007708119218910586	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001603	2653	1671	0.0	0.0	0.0	nan	Guiwei	0.8177155106415558	0.6714515388148831	-0.14626397182667272	0.023746701846965697	0.010771992818671455	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001700	10415	210	0.0	0.0	0.0	nan	Guiwei	0.8759658939515055	0.49826805222488674	-0.37769784172661874	0.03187710033605377	0.05238095238095238	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001879	8486	6414	0.0	0.0	0.0	nan	Guiwei	0.949055640632976	0.9481368044920878	-0.0009188361408881685	0.0073061513080367665	0.0031181789834736516	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001963	1038	623	0.0	0.0	0.0	nan	Guiwei	0.5448607108549471	0.46926032660902983	-0.07560038424591731	0.027938342967244702	0.02086677367576244	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI001999	8265	24533	0.0	0.0	0.0	nan	Guiwei	0.4622076023391813	0.6669590643274854	0.20475146198830413	0.0016938898971566847	0.003750050951779236	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI002015	1064	1038	0.0	0.0	0.0	nan	Guiwei	0.8659288194444446	0.8938368055555556	0.027907986111111005	0.05827067669172932	0.017341040462427744	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI002040	345116	259007	0.0	0.0	0.0	nan	Guiwei	0.501079525008996	0.4952620846827396	-0.005817440326256418	0.006525342203780758	0.008277768554517832	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI002263	2534	3128	0.0	0.0	0.0	nan	Guiwei	0.9295735129068462	0.9371492704826038	0.007575757575757569	0.014206787687450671	0.017902813299232736	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI002571	640	928	0.0	0.0	0.0	nan	Guiwei	0.6863122752953261	0.6560092449922958	-0.030303030303030276	0.0265625	0.023706896551724137	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI003414	11664	12905	0.0	0.0	0.0	nan	Guiwei	0.9418896321070234	0.9680880713489409	0.02619843924191756	0.004458161865569273	0.0074389771406431614	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI003497	3126	2065	0.0	0.0	0.0	nan	Guiwei	0.8114190456345073	0.8032923525734529	-0.008126693061054402	0.02943058221369162	0.0324455205811138	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI003742	19517	37194	0.0	0.0	0.0	nan	Guiwei	0.821939586645469	0.9043985161632221	0.08245892951775313	0.010657375621253266	0.037102758509437006	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI004207	1019	1442	0.0	0.0	0.0	nan	Guiwei	0.6875537218497506	0.7292418772563177	0.04168815540656712	0.003925417075564278	0.016643550624133148	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI004438	10552	7659	0.0	0.0	0.0	nan	Guiwei	0.9009146341463415	0.8951800232288036	-0.005734610917537908	0.007202426080363912	0.0075727901814858336	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI004751	4029	3803	0.0	0.0	0.0	nan	Guiwei	0.5694917391852693	0.5701223357296002	0.0006305965443309525	0.002730206006453214	0.0005259006047856955	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI004929	54575	53964	0.0	0.0	0.0	nan	Guiwei	0.6604570293094884	0.6942374565325385	0.03378042722305019	0.023490609253321117	0.028796975761618857	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005008	317448	77710	0.0	0.0	0.0	nan	Guiwei	0.4708951125755079	0.41385227896760024	-0.057042833607907684	0.002863461102290769	0.0025736713421696047	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005012	24687	15683	0.0	0.0	0.0	nan	Guiwei	0.7990208281470417	0.6852128454070202	-0.11380798274002146	0.0017823145785231093	0.0015940827647771471	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005048	11268	5695	0.0	0.0	0.0	nan	Guiwei	0.9632066794028161	0.9503290171938018	-0.012877662209014318	0.003106141285055023	0.0014047410008779632	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005234	6410	1772	0.0	0.0	0.0	nan	Guiwei	0.8084053275737942	0.7937365010799137	-0.014668826493880571	0.006552262090483619	0.006772009029345372	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005254	70	209	0.0	0.0	0.0	nan	Guiwei	0.2326595323028141	0.4739067247985203	0.2412471924957062	0.0	0.009569377990430622	False	False	False	PASS_UNIFORM_MAPPABILITY_OBSERVED_LOW_COVERAGE
LITCHI005454	16298	20512	0.0	0.0	0.0	nan	Guiwei	0.98047229791099	0.9609445958219801	-0.01952770208900989	0.0004908577739599951	0.0014138065522620905	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005518	48668	26522	0.0	0.0	0.0	nan	Guiwei	0.7595496118668819	0.7472138959342095	-0.012335715932672353	0.0010273691131749815	0.0011688409622200436	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005805	4898	4921	0.0	0.0	0.0	nan	Guiwei	0.8286307053941909	0.846058091286307	0.01742738589211612	0.0012249897917517355	0.007722007722007722	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI005866	14507	8906	0.0	0.0	0.0	nan	Guiwei	0.7308633543907576	0.7454328154345228	0.01456946104376522	0.012338870889915213	0.006512463507747586	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI006337	3811	4009	0.0	0.0	0.0	nan	Guiwei	0.989795918367347	0.929138321995465	-0.06065759637188206	0.07452112306481239	0.10276877026689947	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI006466	2735	2554	0.0	0.0	0.0	nan	Guiwei	0.7131416090280306	0.6322655017594951	-0.08087610726853545	0.029616087751371114	0.009397024275646046	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI006481	4677	3099	0.0	0.0	0.0	nan	Guiwei	1.0	1.0	0.0	0.0021381227282446015	0.0	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI006703	5636	6755	0.0	0.0	0.0	nan	Guiwei	0.7052401746724891	0.7240307000132328	0.018790525340743658	0.0383250532292406	0.05832716506291636	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
LITCHI006920	24011	25003	0.0	0.0	0.0	nan	Guiwei	0.6873990306946688	0.6550888529886915	-0.03231017770597733	0.006247136728999209	0.01131864176298844	True	False	False	PASS_NO_SEVERE_OBSERVED_BIAS
